pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
974920,scala,2101,1360400969,,1360402467,24,,10,1,0,1,83,257038,12,0,0,3.6687182439950514,969,retronym,202,0.7970297029702971,101,false,true
974931,scala,2100,1360370545,1360417620,1360417620,784,784,11,2,0,6,83,257038,119,0,73,3.6687182439950514,969,paulp,272,0.8051470588235294,139,false,true
974932,scala,2095,1360339049,1360342017,1360342018,49,49,11,1,0,14,83,256899,13,0,4,3.6707032724923025,969,hubertp,51,0.8823529411764706,12,false,false
974933,scala,2094,1360330858,1360353074,1360353074,370,370,11,3,0,50,84,256730,269,0,48,3.6731196198340665,969,xeno-by,312,0.7275641025641025,37,false,true
974934,scala,2093,1360278677,1360298539,1360298539,331,331,11,1,0,1,84,256527,109,0,1,3.676026305223232,969,adriaanm,139,0.8273381294964028,39,false,true
974935,scala,2092,1360275774,1360334128,1360334128,972,972,11,1,0,3,84,256672,78,0,17,3.6739496322154346,969,lrytz,53,0.8301886792452831,21,false,true
974938,scala,2091,1360275129,1360331350,1360331350,937,937,11,1,0,3,85,256464,33,0,0,3.676929315615447,969,JamesIry,44,0.6818181818181818,3,false,false
974939,scala,2090,1360274068,1360298426,1360298426,405,405,11,1,0,9,84,256464,210,0,118,3.676929315615447,969,adriaanm,138,0.8260869565217391,39,false,true
974940,scala,2089,1360273101,1360280893,1360280893,129,129,11,1,0,2,85,256436,8,0,1,3.6773307959880825,969,VladUreche,58,0.7068965517241379,11,false,true
974941,scala,2088,1360267243,1360298353,1360298353,518,518,11,1,0,7,85,256447,158,0,47,3.677173061100344,969,retronym,199,0.8040201005025126,101,false,true
974942,scala,2087,1360267237,,1360314310,784,,11,1,0,3,85,242968,0,0,0,3.8811695367291166,969,khernyo,2,0.5,0,false,false
