pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2733038,scalatest/scalatest,scala,207,1388670220,1388777008,1388777008,1779,1779,github,false,false,3,7,0,0,0,0,0,0,4,4,4,0,0,48,45770,1503,27,83,4383.3515403102465,149.5521083679266,1458.4662442648023,103,cheeseng,143,0.3006993006993007,7,false,false
2729091,scalatest/scalatest,scala,206,1388587317,,1388602919,260,,unknown,false,false,3,2,0,0,0,0,0,0,7,7,7,0,0,49,45642,161,28,33,4392.752289557864,149.97151746198676,1461.5704833267605,103,cheeseng,142,0.3028169014084507,7,false,false
2726355,scalatest/scalatest,scala,205,1388503689,1388509901,1388509901,103,103,commits_in_master,false,false,3,16,0,0,0,0,36,0,58,94,60,1,1,50,45465,1167,19929,84,4041.416474210932,147.74001979544704,1345.2325965028042,103,cheeseng,141,0.3049645390070922,7,false,false
2700469,scalatest/scalatest,scala,202,1388037961,1388433767,1388433767,6596,6596,commits_in_master,false,false,3,3,0,0,0,0,1,0,4,5,3,0,1,49,45494,135,280,5,4401.591418648613,150.30553479579726,1464.874488943597,102,cheeseng,140,0.30714285714285716,7,false,false
2698624,scalatest/scalatest,scala,200,1387979959,,1388126894,2448,,unknown,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,48,45451,147,0,14,4041.4952366284565,147.78552727112714,1345.2509295725065,101,cheeseng,139,0.30935251798561153,7,false,false
2693501,scalatest/scalatest,scala,199,1387862646,1387911543,1387911543,814,814,commits_in_master,false,false,3,5,0,0,0,0,33,0,40,73,43,0,0,47,45432,215,19693,16,4041.5786229970063,147.84733227680928,1345.4173269941891,100,cheeseng,138,0.3115942028985507,7,false,false
2662154,scalatest/scalatest,scala,198,1387358882,1387829761,1387829761,7847,7847,commits_in_master,false,false,3,1,0,0,0,0,0,0,3,3,3,0,0,45,45429,16,10,3,4041.6474058420827,147.83508331682404,1345.4841620990996,98,cheeseng,137,0.31386861313868614,7,false,false
2632297,scalatest/scalatest,scala,196,1386932973,1386955576,1386955576,376,376,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,43,45366,98,0,5,4039.809549001455,147.6436097517965,1346.2064100868492,95,cheeseng,136,0.3161764705882353,7,false,false
2629794,scalatest/scalatest,scala,195,1386904157,1386955655,1386955655,858,858,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,43,45366,2,0,5,4039.809549001455,147.6436097517965,1346.2064100868492,95,cheeseng,135,0.31851851851851853,7,false,false
2592416,scalatest/scalatest,scala,192,1386428027,1387159622,1387159622,12193,12193,commits_in_master,false,false,3,2,0,0,0,0,2,0,2,4,4,0,0,43,45277,10,216,28,4035.5147204982663,147.27124146917862,1346.5998188925946,95,cheeseng,134,0.3208955223880597,7,false,false
