pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
7997102,scalatra/scalatra,scala,526,1434357828,,1434370298,207,,unknown,false,false,3,2,1,0,2,0,2,1,0,0,2,2,2,0,0,0,10408,26,53,8,6,492.3136049192928,24.404304381245197,34.87701767870868,1708,seratch,dozed,,38,0.868421052631579,159,false,true,false,0.14634146341463414,7,9,4,13,64,48,4,60,1,207,8895.0,false,false
7990766,scalatra/scalatra,scala,524,1434312482,1435150703,1435150703,13970,13970,commits_in_master,false,true,3,10,1,0,6,0,6,2,1,0,8,9,9,0,0,0,10408,622,321,32,20,492.3136049192928,24.404304381245197,34.87701767870868,1708,dozed,seratch,seratch,15,1.0,13,false,true,false,0.04878048780487805,7,149,4,4,23,5,5,14,0,49,779893.0,false,true
7986342,scalatra/scalatra,scala,522,1434279413,1434282304,1434282304,48,48,commits_in_master,false,false,3,3,1,0,1,0,1,1,2,0,1,3,3,0,0,0,10387,121,0,2,2,493.30894387214784,24.453643978049485,34.94753056705497,1707,dozed,seratch,seratch,14,1.0,13,false,true,false,0.0,7,11,4,4,22,4,5,11,0,48,9018.0,false,true
7984641,scalatra/scalatra,scala,521,1434260771,,1434282330,359,,unknown,false,true,3,2,2,0,5,0,5,2,0,0,2,2,2,0,0,0,10387,81,0,20,20,493.30894387214784,24.453643978049485,34.94753056705497,1707,seratch,seratch,,37,0.8918918918918919,159,false,true,false,0.5405405405405406,7,6,3,12,54,45,4,56,1,8,7615.0,false,true
7984406,scalatra/scalatra,scala,519,1434257477,1434258112,1434258112,10,10,commits_in_master,false,false,3,2,2,0,1,0,1,2,1,0,1,2,2,0,0,0,10387,2,33,2,2,492.3462019832483,24.453643978049485,34.94753056705497,1707,seratch,seratch,seratch,36,0.8888888888888888,159,false,true,false,0.05555555555555555,7,15,3,11,53,43,4,55,1,10,7603.0,false,false
7977270,scalatra/scalatra,scala,517,1434185944,1434233403,1434233403,790,790,commits_in_master,false,false,3,2,2,0,0,0,0,0,1,0,4,5,3,0,0,0,10387,16,0,30,22,492.3462019832483,24.453643978049485,34.94753056705497,1706,seratch,seratch,seratch,35,0.8857142857142857,159,false,true,false,0.06060606060606061,7,2,3,10,53,41,4,50,1,-1,7751.0,false,false
7965643,scalatra/scalatra,scala,516,1434112216,1434184286,1434184286,1201,1201,commits_in_master,false,false,3,4,2,0,4,0,4,2,3,1,17,21,21,0,0,0,10286,840,232,26,20,494.06960917752286,24.693758506708146,35.290686369823064,1705,dozed,seratch,seratch,13,1.0,13,false,true,false,0.0,7,9,4,2,19,3,5,8,0,0,17009.0,false,true
7717321,scalatra/scalatra,scala,514,1432707557,1433882551,1433882551,19583,19583,commits_in_master,false,false,3,6,1,0,18,0,18,4,1,0,3,4,3,0,0,0,10251,242,77,0,0,492.73241634962443,24.778070432152962,35.41117939713199,1685,lloydmeta,seratch,seratch,3,1.0,22,false,false,true,0.0,8,28,4,0,0,1,0,2,0,4,158510.0,false,false
7684914,scalatra/scalatra,scala,512,1432484577,1432486571,1432486571,33,33,commits_in_master,false,false,2,4,4,0,0,0,0,0,0,0,2,2,2,0,0,0,10248,5,22,2,2,492.6814988290398,24.785323965651834,35.421545667447305,1683,dozed,dozed,dozed,12,1.0,13,false,true,false,0.06666666666666667,7,6,4,2,6,2,0,5,0,-1,7688.0,false,false
7654866,scalatra/scalatra,scala,511,1432252589,1434184333,1434184333,32195,32195,commits_in_master,false,true,2,32,13,11,14,0,25,3,3,0,17,20,17,0,0,0,10248,1098,630,20,18,492.6814988290398,24.785323965651834,35.421545667447305,1680,dozed,seratch,seratch,11,1.0,13,false,true,false,0.0,7,109,3,2,5,1,0,4,0,10,1860861.0,false,true
