pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1197045,twitter/scalding,326,1361892351,1361899718,1361899718,122,122,5,1,1,1,68,7174,4,0,0,593.9503763590744,1242,willf,0,0,10,false,false
1181219,twitter/scalding,323,1361490871,1361552020,1361552020,1019,1019,5,1,4,2,68,7177,11,52,2,593.7021039431517,1240,ccsevers,2,0.5,4,false,false
1179780,twitter/scalding,321,1361465177,1361466760,1361466760,26,26,5,1,1,11,69,7163,22,373,2,551.0261063800084,1240,sritchie,12,0.9166666666666666,132,true,true
1177321,twitter/scalding,320,1361411710,1361464067,1361464067,872,872,5,1,0,1,69,7013,0,0,6,562.8119207186654,1240,sritchie,11,0.9090909090909091,132,true,true
1165499,twitter/scalding,318,1361184667,1361214195,1361214195,492,492,5,1,4,2,70,6993,24,0,2,564.4215644215644,1240,singhala,1,1.0,4,false,true
1164222,twitter/scalding,317,1361143448,1361144616,1361144617,19,19,5,1,0,1,70,6992,1,0,0,564.5022883295194,620,johnynek,100,0.92,30,true,true
1158545,twitter/scalding,314,1360956148,1360960480,1360960481,72,72,5,1,0,3,71,6954,50,0,9,567.5870002876043,1240,sritchie,10,0.9,132,true,true
1158315,twitter/scalding,312,1360952450,1361058906,1361058907,1774,1774,5,2,1,3,71,6954,31,0,30,567.5870002876043,1240,johnynek,99,0.9191919191919192,60,true,true
1125579,twitter/scalding,309,1360625382,1361488360,1361488360,14382,14382,5,4,15,4,72,6929,53,84,0,566.7484485495743,1240,ccsevers,1,1.0,4,false,false
1125425,twitter/scalding,308,1360437526,1360779072,1360779072,5692,5692,5,1,0,1,72,6929,48,0,3,566.7484485495743,1240,johnynek,98,0.9183673469387755,58,true,true
978358,twitter/scalding,307,1360360719,1360432132,1360432132,1190,1190,5,10,5,3,73,6918,23,65,21,552.3272622145129,1240,mcfunley,1,1.0,116,false,false
1125590,twitter/scalding,306,1360359598,1360424978,1360424978,1089,1089,5,1,0,1,73,6918,11,0,17,552.3272622145129,1240,tchklovski,2,1.0,8,false,false
978031,twitter/scalding,305,1360358062,1360778949,1360778949,7014,7014,5,5,4,2,73,6918,149,57,107,552.3272622145129,1240,tchklovski,1,1.0,8,false,false
1125575,twitter/scalding,304,1360348523,1360358611,1360358611,168,168,5,1,0,1,73,6918,0,0,3,552.3272622145129,1240,tchklovski,0,0,8,false,false
978222,twitter/scalding,303,1360188548,1360423012,1360423012,3907,3907,5,2,2,2,73,6918,2,44,22,552.3272622145129,618,azymnis,40,0.95,19,false,true
975866,twitter/scalding,302,1360185912,1361464024,1361464025,21301,21301,5,6,21,86,73,6918,679,180,9,552.3272622145129,1236,sritchie,9,0.8888888888888888,132,true,true
962137,twitter/scalding,301,1360120885,1360435245,1360435245,5239,5239,5,1,2,2,72,6918,7,20,14,552.3272622145129,1236,johnynek,97,0.9175257731958762,56,true,true
954906,twitter/scalding,298,1359949737,1359992311,1359992311,709,709,5,2,0,1,69,6918,0,51,0,546.2561433940444,1236,azymnis,39,0.9487179487179487,38,false,true
952064,twitter/scalding,297,1359837348,,1359992332,2583,,5,1,2,1,69,6918,2,0,0,546.2561433940444,1236,arkajit,3,1.0,8,false,false
945893,twitter/scalding,296,1359676406,1359681404,1359681404,83,83,5,2,0,3,68,6893,48,20,21,520.8182213840128,1236,johnynek,96,0.9166666666666666,52,true,true
945812,twitter/scalding,295,1359674339,1359752099,1359752100,1296,1296,5,13,3,3,68,6893,311,207,26,520.8182213840128,1236,alexanderdean,1,1.0,40,false,false
936568,twitter/scalding,289,1359485681,1359596636,1359596636,1849,1849,4,2,3,5,68,6891,19,0,11,520.9693803511826,1234,joliveirinha,0,0,10,false,false
945894,twitter/scalding,288,1358983678,1359676489,1359676490,11546,11546,4,1,0,1,67,6891,0,37,10,520.9693803511826,617,johnynek,95,0.9157894736842105,26,false,true
838753,twitter/scalding,287,1358981650,1359676522,1359676523,11581,11581,4,2,0,1,67,6891,0,38,20,520.9693803511826,1234,johnynek,94,0.9148936170212766,52,false,true
836823,twitter/scalding,284,1358908589,1358957237,1358957237,810,810,4,1,0,2,68,6891,2,25,12,517.6316935132782,617,azymnis,38,0.9473684210526315,19,false,true
837136,twitter/scalding,283,1358895640,1358961200,1358961201,1092,1092,4,2,2,3,67,6891,2,8,15,517.6316935132782,617,alexanderdean,0,0,20,false,false
919806,twitter/scalding,277,1358293907,1358295404,1358295404,24,24,4,1,0,1,67,6891,6,0,7,517.6316935132782,1234,singhala,0,0,4,false,true
913960,twitter/scalding,274,1358101371,,1358294348,3216,,4,4,0,29,71,6827,1275,117,0,517.7969825692105,1234,johnynek,91,0.945054945054945,52,false,true
910900,twitter/scalding,271,1357933474,1358021771,1358021771,1471,1471,5,2,0,2,72,6827,4,6,31,517.7969825692105,1234,mklich,0,0,2,false,false
795343,twitter/scalding,270,1357894236,,1357921989,462,,5,1,1,1,71,6827,0,0,0,517.7969825692105,1234,digitalex,0,0,12,false,false
910514,twitter/scalding,269,1357774537,1358187465,1358187466,6882,6882,5,3,0,7,71,6827,194,77,23,517.7969825692105,1234,johnynek,89,0.9550561797752809,50,false,true
779842,twitter/scalding,265,1357327868,1358187247,1358187249,14323,14322,5,4,2,4,70,6829,58,0,32,517.6453360667741,617,asiegel34,5,0.8,0,false,true
968437,twitter/scalding,264,1357270972,1357518625,1357518625,4127,4127,5,1,0,2,71,6829,13,0,13,517.6453360667741,617,johnynek,88,0.9545454545454546,24,false,true
762947,twitter/scalding,261,1356541759,1356583923,1356583924,702,702,5,1,0,1,71,6753,0,2,0,508.2185695246557,1228,asiegel34,4,0.75,0,false,true
902727,twitter/scalding,259,1356234106,1356397065,1356397066,2716,2715,5,1,0,2,71,6752,9,0,8,508.2938388625592,609,koertkuipers,2,1.0,0,false,false
776252,twitter/scalding,257,1356034339,1356124743,1356124743,1506,1506,5,3,4,4,71,6721,92,52,18,504.2404404106532,609,koertkuipers,1,1.0,0,false,false
771971,twitter/scalding,256,1355924554,1356810021,1356810022,14757,14757,5,1,7,2,71,6716,135,150,0,504.6158427635498,1214,joshdevins,0,0,62,false,false
894510,twitter/scalding,254,1355846329,1356021074,1356021074,2912,2912,5,1,2,1,69,6716,8,0,4,504.6158427635498,606,azymnis,37,0.9459459459459459,18,false,true
750195,twitter/scalding,249,1355452428,1355509347,1355509347,948,948,5,4,1,4,70,6656,122,150,5,488.43149038461536,1198,ccsevers,0,0,4,false,false
670896,twitter/scalding,247,1355377896,1355508761,1355508762,2181,2181,5,2,2,2,67,6656,23,25,36,488.43149038461536,1196,mcfunley,0,0,88,false,false
653809,twitter/scalding,246,1355280647,1357236275,1357236275,32593,32593,5,10,2,2,68,6656,69,107,66,488.43149038461536,1196,arkajit,2,1.0,6,false,false
656410,twitter/scalding,245,1355271865,1361385583,1361385584,101895,101895,5,10,11,1,67,6656,93,0,21,488.43149038461536,1196,asiegel34,3,0.6666666666666666,0,false,true
656411,twitter/scalding,241,1354813347,1355081540,1355081540,4469,4469,5,1,0,2,69,6564,19,42,11,481.1090798293723,1178,koertkuipers,0,0,0,false,false
643766,twitter/scalding,238,1354552248,1355082025,1355082026,8829,8829,5,3,1,2,67,6564,6,8,10,481.1090798293723,1174,quiiver,0,0,6,false,false
611915,twitter/scalding,237,1354309513,1354313622,1354313622,68,68,5,1,0,1,68,6564,2,0,14,481.1090798293723,1170,johnynek,87,0.9540229885057471,46,false,true
581705,twitter/scalding,234,1354243874,1354301731,1354301731,964,964,5,5,4,4,68,6534,97,33,28,478.8797061524334,1170,avibryant,11,0.7272727272727273,64,false,true
590443,twitter/scalding,233,1354226147,1354228689,1354228689,42,42,5,1,1,2,68,6538,5,48,23,478.2808198225757,1170,johnynek,86,0.9534883720930233,46,false,true
586362,twitter/scalding,232,1354212304,1354212782,1354212782,7,7,5,2,0,1,69,6532,18,0,22,478.72014696876914,1170,johnynek,85,0.9529411764705882,46,false,true
585558,twitter/scalding,231,1354210915,1354215822,1354215822,81,81,5,1,0,1,68,6532,5,0,11,478.72014696876914,1170,johnynek,84,0.9523809523809523,46,false,true
566637,twitter/scalding,230,1353947913,1354042492,1354042493,1576,1576,5,7,4,3,67,6456,42,31,34,467.62701363073114,583,arkajit,1,1.0,3,false,false
565702,twitter/scalding,229,1353934762,1354209997,1354209998,4587,4587,5,6,12,6,66,6456,476,127,10,467.62701363073114,583,echen,5,0.6,249,false,true
656367,twitter/scalding,228,1353541720,1353603058,1353603058,1022,1022,5,1,0,2,66,6452,20,3,17,467.451952882827,583,azymnis,36,0.9444444444444444,16,false,true
502769,twitter/scalding,227,1353387281,1353387415,1353387416,2,2,5,1,0,1,66,6452,8,0,4,467.451952882827,583,arkajit,0,0,3,false,false
656368,twitter/scalding,223,1352325073,1352327758,1352327758,44,44,5,1,0,3,64,6452,8,0,16,467.451952882827,582,avibryant,10,0.7,32,false,true
466570,twitter/scalding,221,1352252857,1355183883,1355183884,48850,48850,5,16,30,5,63,6452,971,93,35,467.451952882827,582,krishnanraman,0,0,0,false,false
656369,twitter/scalding,220,1352140176,1352149241,1352149241,151,151,5,6,1,6,65,6460,41,40,82,461.609907120743,581,avibryant,9,0.6666666666666666,32,false,true
656370,twitter/scalding,219,1352136758,1352136816,1352136816,0,0,5,1,0,1,65,6460,30,0,6,461.609907120743,581,johnynek,83,0.9518072289156626,23,false,true
656371,twitter/scalding,218,1352133742,1352136280,1352136280,42,42,5,1,0,2,66,6446,22,0,5,462.6124728513807,581,johnynek,82,0.9512195121951219,23,false,true
656372,twitter/scalding,217,1352059810,1352140326,1352140326,1341,1341,5,1,0,1,65,6446,2,0,0,462.6124728513807,581,david206,2,0.5,0,false,false
656374,twitter/scalding,216,1351722594,1351723861,1351723861,21,21,5,1,0,4,66,6446,8,0,10,462.6124728513807,581,asiegel34,2,0.5,0,false,true
656375,twitter/scalding,215,1351628523,1351630765,1351630765,37,37,5,1,0,1,67,6446,2,0,10,462.6124728513807,581,azymnis,35,0.9428571428571428,16,false,true
656376,twitter/scalding,211,1351110825,1351531731,1351531731,6955,6955,5,1,0,3,68,6445,11,66,2,454.7711404189294,581,johnynek,81,0.9506172839506173,23,false,true
656377,twitter/scalding,210,1351103282,1351105946,1351105946,44,44,5,1,0,6,68,6447,961,0,6,454.63006049325264,581,johnynek,80,0.95,23,false,true
656378,twitter/scalding,209,1350661498,1350678262,1350678262,279,279,5,3,2,7,67,6376,187,0,28,459.69259723964865,580,sritchie,8,0.875,60,false,true
656379,twitter/scalding,208,1350529992,1350579293,1350579293,821,821,5,5,1,3,66,6381,17,0,28,459.332393041843,580,avibryant,8,0.625,32,false,true
656380,twitter/scalding,207,1350529023,1350529953,1350529953,15,15,5,5,1,3,66,6381,17,0,28,459.332393041843,580,avibryant,7,0.7142857142857143,32,false,true
656382,twitter/scalding,206,1350509609,1350580954,1350580954,1189,1189,5,2,0,2,66,6387,22,0,27,458.90089243776424,580,johnynek,79,0.9493670886075949,23,false,true
656384,twitter/scalding,205,1350415610,1350416945,1350416945,22,22,5,2,0,3,66,7526,1317,0,35,389.4499069891044,580,johnynek,78,0.9487179487179487,23,false,true
656385,twitter/scalding,204,1350332499,1350337300,1350337300,80,80,5,1,0,2,66,7476,26,28,18,384.02889245585874,580,johnynek,77,0.948051948051948,23,false,true
656388,twitter/scalding,203,1350100919,1350344298,1350344298,4056,4056,5,18,9,9,65,7476,689,72,89,384.02889245585874,580,avibryant,6,0.6666666666666666,32,false,true
656389,twitter/scalding,202,1350060618,1350097353,1350097353,612,612,5,1,1,2,65,7436,57,37,16,382.3292092522862,580,johnynek,76,0.9473684210526315,23,false,true
656390,twitter/scalding,201,1350003467,1350004190,1350004190,12,12,5,10,0,9,64,7436,677,60,39,382.3292092522862,580,bgreenlee,0,0,12,false,false
656391,twitter/scalding,200,1349468672,1349789388,1349789388,5345,5345,4,2,0,3,66,7392,32,8,28,380.275974025974,1154,johnynek,75,0.9466666666666667,46,false,true
656392,twitter/scalding,199,1349371756,1349793326,1349793326,7026,7026,4,3,0,6,66,7392,133,30,28,380.275974025974,1150,johnynek,74,0.9459459459459459,46,false,true
451706,twitter/scalding,197,1349159413,1349195710,1349195710,604,604,4,2,3,6,64,7375,384,2,9,381.1525423728814,575,johnynek,73,0.9452054794520548,23,false,true
440773,twitter/scalding,196,1348719087,1348754882,1348754883,596,596,4,1,0,10,63,7370,56,0,46,380.5970149253731,569,azymnis,34,0.9411764705882353,15,false,true
440739,twitter/scalding,195,1348717236,1348761101,1348761101,731,731,4,2,2,2,63,7370,17,12,20,380.5970149253731,569,azymnis,33,0.9393939393939394,15,false,true
