pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2735811,scambra/devise_invitable,ruby,420,1388697189,1388734046,1388734046,614,614,github,false,false,1,2,0,0,0,0,0,0,1,1,0,0,1,31,543,0,0,6,2364.6408839779006,1.8416206261510129,548.8029465930019,1077,ZachBeta,0,0,8,false,false
2726658,scambra/devise_invitable,ruby,419,1388508074,1388654765,1388654765,2444,2444,commits_in_master,false,false,1,2,0,0,0,0,0,0,3,3,3,0,0,30,544,22,13,6,2349.2647058823527,1.838235294117647,545.9558823529411,1077,zawaideh,0,0,3,false,false
2680826,scambra/devise_invitable,ruby,418,1387572580,1387626071,1387626071,891,891,commit_sha_in_comments,false,false,1,8,0,3,3,2,0,0,6,6,4,0,2,23,570,27,0,0,2242.1052631578946,1.7543859649122808,521.0526315789473,1077,dsilver829,0,0,0,false,false
2394854,scambra/devise_invitable,ruby,401,1383701136,1383724167,1383724167,383,383,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,15,567,8,0,1,2253.968253968254,1.763668430335097,523.8095238095239,1076,loopj,0,0,164,false,false
2304083,scambra/devise_invitable,ruby,397,1382425860,1382435493,1382435493,160,160,github,false,false,3,1,0,0,0,0,0,0,3,3,3,0,0,15,563,8,23,18,2239.7868561278865,1.7761989342806395,518.6500888099466,1076,camallen,1,1.0,2,false,false
2287452,scambra/devise_invitable,ruby,396,1382114538,1382118839,1382118839,71,71,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,0,0,1,15,550,0,0,11,2292.727272727273,1.8181818181818181,530.9090909090909,1075,anatighe,0,0,1,false,false
2280555,scambra/devise_invitable,ruby,395,1382023387,1382042441,1382042441,317,317,commits_in_master,false,false,3,2,0,1,1,1,0,0,5,5,4,0,1,14,548,12,39,29,2277.3722627737225,1.8248175182481752,523.7226277372263,1075,ginter,0,0,2,false,false
2228587,scambra/devise_invitable,ruby,391,1381252689,,1387780576,108738,,unknown,false,false,3,1,0,9,9,3,0,0,1,1,1,0,0,10,548,5,0,0,2277.3722627737225,1.8248175182481752,523.7226277372263,1075,bruchu,0,0,2,false,false
2182252,scambra/devise_invitable,ruby,386,1380564839,1380577778,1380577778,215,215,github,false,false,3,1,0,0,0,0,0,0,1,1,0,0,1,10,554,0,0,9,2249.0974729241875,1.8050541516245489,514.4404332129964,1075,kcm,0,0,5,false,false
2114616,scambra/devise_invitable,ruby,372,1379503547,,1379565693,1035,,unknown,false,false,3,1,0,3,3,2,0,0,2,2,2,0,0,11,554,2,11,0,2222.0216606498198,1.8050541516245489,507.2202166064982,1075,lfidnl,0,0,1,false,false
