pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1182927,sanger/sequencescape,748,1361534913,1361534920,1361534920,0,0,2,1,0,1,70,49490,2,0,2,290.15962820771875,42,JamesGlover,111,0.8108108108108109,0,false,true
1179479,sanger/sequencescape,747,1361460381,1361460460,1361460460,1,1,2,1,0,1,69,49490,2,0,0,290.15962820771875,21,JamesGlover,110,0.8090909090909091,0,false,true
1174759,sanger/sequencescape,746,1361366664,1361366673,1361366673,0,0,2,1,0,1,68,49489,5,0,1,290.1654913213037,42,JamesGlover,109,0.8073394495412844,0,false,true
1171162,sanger/sequencescape,745,1361289111,1361358906,1361358906,1163,1163,2,1,0,5,68,49401,17,0,4,290.4799497985871,42,JamesGlover,108,0.8055555555555556,0,false,true
1171153,sanger/sequencescape,744,1361288989,1361358896,1361358896,1165,1165,2,7,0,8,68,49401,67,26,8,290.4799497985871,42,JamesGlover,107,0.8037383177570093,0,false,true
1170876,sanger/sequencescape,743,1361285279,1361358885,1361358885,1226,1226,2,1,0,1,68,49401,5,0,0,290.4799497985871,42,JamesGlover,106,0.8018867924528302,0,false,true
1169635,sanger/sequencescape,742,1361264017,1361358876,1361358876,1580,1580,2,1,0,1,68,49401,4,0,0,290.4799497985871,42,JamesGlover,105,0.8,0,false,true
1166483,sanger/sequencescape,741,1361202933,1361358865,1361358865,2598,2598,2,2,0,10,68,49401,37,0,0,290.4799497985871,21,JamesGlover,104,0.7980769230769231,0,false,true
1166474,sanger/sequencescape,740,1361202819,1361358856,1361358856,2600,2600,2,1,0,1,68,49401,2,0,2,290.4799497985871,42,JamesGlover,103,0.7961165048543689,0,false,true
1157335,sanger/sequencescape,739,1360937569,,1361358847,7021,,2,9,0,5,68,49401,163,0,1,290.4799497985871,21,JamesGlover,102,0.803921568627451,0,false,true
1149311,sanger/sequencescape,738,1360750543,1360754780,1360754780,70,70,2,2,0,1,70,49397,8,0,0,290.50347187076136,42,JamesGlover,101,0.801980198019802,0,false,true
