pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2713511,serverspec/serverspec,ruby,326,1388208266,1388208369,1388208369,1,1,commits_in_master,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,51,44,0,8,2,242045.45454545453,2181.8181818181815,67636.36363636365,449,mizzy,122,0.7950819672131147,172,true,false
2712922,serverspec/serverspec,ruby,325,1388189972,1388189980,1388189980,0,0,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,51,44,0,2,0,242045.45454545453,2181.8181818181815,67636.36363636365,449,mizzy,121,0.8016528925619835,172,true,false
2694078,serverspec/serverspec,ruby,323,1387873262,1387873471,1387873471,3,3,commits_in_master,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,53,44,0,8,2,242045.45454545453,2181.8181818181815,67636.36363636365,449,mizzy,120,0.8083333333333333,172,true,false
2694048,serverspec/serverspec,ruby,322,1387872679,1387872905,1387872905,3,3,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,53,44,0,4,1,242045.45454545453,2181.8181818181815,67636.36363636365,449,mizzy,119,0.8151260504201681,172,true,false
2690648,serverspec/serverspec,ruby,321,1387810650,1387871306,1387871306,1010,1010,commits_in_master,false,false,1,1,5,0,5,2,9,0,3,12,12,0,0,51,44,0,265,4,237159.0909090909,2181.8181818181815,66181.81818181819,449,vincentbernat,4,0.0,93,false,false
2664024,serverspec/serverspec,ruby,318,1387372742,1387402893,1387402893,502,502,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,53,44,0,3,5,237159.0909090909,2181.8181818181815,66181.81818181819,449,ryotarai,8,0.375,6,false,false
2663886,serverspec/serverspec,ruby,317,1387371686,1387402813,1387402813,518,518,commits_in_master,false,false,1,2,0,2,2,2,0,0,1,1,1,0,0,53,44,0,9,8,237159.0909090909,2181.8181818181815,66181.81818181819,449,ryotarai,7,0.42857142857142855,6,false,false
2655275,serverspec/serverspec,ruby,316,1387291091,1387369394,1387369394,1305,1305,commits_in_master,false,false,1,2,3,2,5,3,0,0,2,2,2,0,0,54,44,0,137,15,236045.45454545453,2181.8181818181815,65909.09090909091,449,vincentbernat,3,0.0,93,false,false
2651654,serverspec/serverspec,ruby,315,1387243230,1387252200,1387252200,149,149,commits_in_master,false,true,1,1,0,1,1,3,0,0,3,3,3,0,0,56,44,0,13,21,235795.45454545453,2181.8181818181815,65795.45454545454,449,ryotarai,6,0.5,6,false,false
2648158,serverspec/serverspec,ruby,312,1387208833,1387238015,1387238015,486,486,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,56,44,0,6,10,235681.81818181818,2181.8181818181815,65750.0,449,vincentbernat,2,0.0,93,false,false
2646663,serverspec/serverspec,ruby,311,1387196675,1387203483,1387203483,113,113,commits_in_master,false,false,1,2,0,5,5,2,0,0,2,2,2,0,0,56,44,0,17,7,235386.36363636362,2181.8181818181815,65704.54545454546,449,mizzy,118,0.8220338983050848,172,true,false
2645931,serverspec/serverspec,ruby,310,1387187456,1387196973,1387196973,158,158,commits_in_master,false,false,1,2,0,0,0,0,0,0,2,2,2,0,0,56,44,0,8,14,235386.36363636362,2181.8181818181815,65704.54545454546,449,vincentbernat,1,0.0,93,false,false
2634076,serverspec/serverspec,ruby,309,1386950044,,1386978301,470,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,57,44,0,31,0,236545.45454545453,2181.8181818181815,65840.90909090909,449,vincentbernat,0,0,93,false,false
2615448,serverspec/serverspec,ruby,308,1386761427,1386761907,1386761907,8,8,github,false,false,1,2,0,0,0,0,2,0,2,4,4,0,0,57,44,6,22,32,236136.36363636362,2181.8181818181815,65818.18181818181,449,mizzy,117,0.8205128205128205,172,true,false
2609584,serverspec/serverspec,ruby,307,1386689992,1386719557,1386719557,492,492,github,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,58,44,0,4,9,236136.36363636362,2181.8181818181815,65818.18181818181,449,presto53,1,1.0,1,false,false
2606687,serverspec/serverspec,ruby,306,1386662009,1386667342,1386667342,88,88,github,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,58,44,0,4,8,236136.36363636362,2181.8181818181815,65818.18181818181,449,presto53,0,0,1,false,false
2571320,serverspec/serverspec,ruby,304,1386147185,1386147369,1386147369,3,3,github,false,false,1,2,0,0,0,0,0,0,2,2,2,0,0,58,44,0,4,12,236136.36363636362,2181.8181818181815,65818.18181818181,449,mizzy,116,0.8189655172413793,172,true,false
2566872,serverspec/serverspec,ruby,303,1386087277,1386087315,1386087315,0,0,github,false,false,1,1,0,0,0,0,1,0,1,2,2,0,0,58,43,1,7,38,241488.37209302327,2232.5581395348836,67348.83720930234,449,mizzy,115,0.8173913043478261,172,true,false
2565502,serverspec/serverspec,ruby,302,1386074835,1386080234,1386080234,89,89,github,false,false,1,9,0,0,0,0,0,14,4,18,18,0,0,57,58,16,1047,252,193741.3793103448,1655.1724137931035,50189.6551724138,449,mizzy,114,0.8157894736842105,172,true,false
2534405,serverspec/serverspec,ruby,301,1385604572,1385798869,1385798869,3238,3238,commits_in_master,false,false,1,21,0,0,0,0,2,42,184,228,227,0,0,54,90,118,1346,1066,133011.11111111112,1066.6666666666667,32444.44444444444,449,mizzy,113,0.8230088495575221,172,true,false
2524679,serverspec/serverspec,ruby,300,1385487486,1385508791,1385508791,355,355,commits_in_master,false,false,1,1,0,1,1,2,0,0,1,1,1,0,0,54,90,0,14,11,132900.0,1066.6666666666667,32444.44444444444,449,fnichol,0,0,116,false,false
2466413,serverspec/serverspec,ruby,298,1384707869,1384755178,1384755178,788,788,commits_in_master,false,false,1,13,0,1,1,1,4,0,3,7,6,0,0,54,90,0,709,0,127388.88888888889,977.7777777777777,30800.0,449,podenski,1,1.0,1,false,false
2453848,serverspec/serverspec,ruby,297,1384475898,1384476336,1384476336,7,7,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,0,1,0,54,90,0,0,1,127388.88888888889,977.7777777777777,30800.0,449,vinyar,0,0,0,false,false
2449275,serverspec/serverspec,ruby,296,1384433624,,1384435140,25,,unknown,false,false,1,1,0,4,4,2,0,0,1,1,1,0,0,54,90,0,16,0,127388.88888888889,977.7777777777777,30800.0,449,ryotarai,5,0.6,6,false,false
2447670,serverspec/serverspec,ruby,295,1384413144,1384416841,1384416841,61,61,commits_in_master,false,false,1,2,0,0,0,1,0,0,154,154,154,0,0,55,90,0,642,528,130677.77777777778,977.7777777777777,30800.0,449,mizzy,112,0.8303571428571429,172,true,false
