pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2009506,sightmachine/SimpleSeer,python,1087,1377889191,1377889194,1377889194,0,0,github,false,false,7,0,0,0,77,5300,0,0,0,188.49056603773585,10.0,17.92452830188679,6,ahomatthew,111,0.9819819819819819,1,false,false
2007594,sightmachine/SimpleSeer,python,1086,1377868774,1377868778,1377868779,0,0,github,false,false,7,0,0,0,77,5292,0,0,0,188.77551020408163,10.0151171579743,17.951625094482235,6,ahomatthew,110,0.9818181818181818,1,false,false
2007364,sightmachine/SimpleSeer,python,1085,1377866076,1377866079,1377866079,0,0,github,false,false,7,0,0,0,77,5281,0,0,0,187.6538534368491,10.03597803446317,17.989017231584928,6,Tendrid,161,1.0,4,false,false
2007101,sightmachine/SimpleSeer,python,1084,1377798928,1377798959,1377798959,0,0,github,false,false,7,0,0,0,77,5281,0,0,0,187.6538534368491,10.03597803446317,17.989017231584928,6,brooksryba,229,0.9737991266375546,4,false,false
2004496,sightmachine/SimpleSeer,python,1083,1377779269,1377794000,1377794000,245,245,github,false,false,7,3,0,1,77,5233,8,0,81,179.62927575004778,9.93693865851328,17.962927575004777,6,ahomatthew,109,0.981651376146789,1,false,false
1987384,sightmachine/SimpleSeer,python,1082,1377528726,1377788974,1377788974,4337,4337,github,false,false,7,3,0,9,76,5201,93,101,42,180.73447413958854,9.998077292828302,18.073447413958853,6,Tendrid,160,1.0,4,false,false
1986728,sightmachine/SimpleSeer,python,1081,1377521767,1377616231,1377616231,1574,1574,github,false,false,7,4,2,6,76,5201,100,0,72,180.73447413958854,9.998077292828302,18.073447413958853,6,brooksryba,228,0.9736842105263158,4,false,false
1976507,sightmachine/SimpleSeer,python,1080,1377266227,1377275080,1377275080,147,147,github,false,false,7,3,0,2,76,5188,19,0,22,181.38010794140325,10.023130300693909,18.118735543562067,12,demaagdk,184,1.0,6,false,false
1970621,sightmachine/SimpleSeer,python,1079,1377178490,1377616369,1377616369,7297,7297,github,false,false,8,6,1,7,76,5188,80,0,74,181.38010794140325,10.023130300693909,18.118735543562067,6,ahomatthew,108,0.9814814814814815,1,false,false
1964580,sightmachine/SimpleSeer,python,1078,1377096877,1377267048,1377267048,2836,2836,github,false,false,8,20,1,7,75,5292,128,7,233,168.3673469387755,9.637188208616779,17.384731670445955,6,brooksryba,227,0.973568281938326,4,false,false
1963995,sightmachine/SimpleSeer,python,1077,1377091584,1377091594,1377091595,0,0,github,false,false,8,3,0,2,75,5286,8,0,12,168.5584562996595,9.648127128263337,17.404464623533862,6,demaagdk,183,1.0,3,false,false
