pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2643686,sk89q/craftbook,java,182,1387146329,1387147644,1387147644,21,21,commits_in_master,false,false,2,2,0,0,0,0,0,0,1,1,1,0,0,4,46220,52,0,3,10.839463435742102,0.584162700129814,1.4712245781047166,187,DarkArc,21,0.6666666666666666,4,true,true
2595363,sk89q/craftbook,java,181,1386493360,1386494706,1386494706,22,22,github,false,false,1,2,0,2,2,2,0,0,1,1,1,0,0,2,45980,7,0,0,10.896041757285776,0.5872118312309701,1.4789038712483689,187,dddeeefff,0,0,0,false,false
2308932,sk89q/craftbook,java,180,1382473644,1382501890,1382501890,470,470,github,false,false,1,1,0,2,2,2,0,0,1,1,1,0,0,1,46079,22,0,11,10.829228064845157,0.5859502159335055,1.4757264697584584,187,ScoreUnder,9,1.0,6,false,false
2308326,sk89q/craftbook,java,179,1382467631,1385961424,1385961424,58169,58169,github,false,false,1,3,0,6,6,2,0,0,1,1,1,0,0,1,46079,86,0,3,10.829228064845157,0.5859502159335055,1.4757264697584584,187,ScoreUnder,8,1.0,6,false,false
2252621,sk89q/craftbook,java,178,1381594631,1381600176,1381600177,92,92,github,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,0,46006,2,0,1,10.84641133765161,0.5868799721775421,1.4780680780767725,186,AlexMedia,0,0,0,false,false
2240100,sk89q/craftbook,java,177,1381408789,,1381569257,2674,,unknown,false,false,1,1,0,4,4,3,0,0,1,1,1,0,0,0,46008,2,0,0,10.845939836550166,0.5868544600938967,1.4780038254216659,186,Darker,0,0,0,false,false
1598810,sk89q/craftbook,java,176,1371239653,1371242629,1371242630,49,49,github,false,false,3,2,0,0,0,1,0,0,1,1,1,0,0,1,43317,28,0,1,8.703280467253041,0.5540549899577533,1.6159937207101138,185,ScoreUnder,7,1.0,5,false,false
1598792,sk89q/craftbook,java,175,1371239259,1371242572,1371242572,55,55,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,1,43317,96,0,19,8.703280467253041,0.5540549899577533,1.6159937207101138,185,ScoreUnder,6,1.0,5,false,false
1568993,sk89q/craftbook,java,174,1370693138,,1378246357,125886,,unknown,false,false,3,1,0,1,1,1,1,0,0,1,0,0,1,1,43192,0,0,0,8.728468234858308,0.5556584552694943,1.6206704945360253,185,pa001024,0,0,0,false,false
1527509,sk89q/craftbook,java,173,1369730079,1369732767,1369732767,44,44,github,false,false,3,3,0,1,1,1,0,0,4,4,4,0,0,1,42548,38,0,34,8.296512174485288,0.5170630816959669,1.6452007144871674,185,ScoreUnder,5,1.0,5,false,false
