pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2734638,sk89q/worldedit,java,285,1388685968,,1388687093,18,,unknown,false,false,3,1,0,1,1,2,0,0,2,2,2,0,0,28,33133,39,0,0,19.919717502188153,0.8148975341804243,5.493013008179156,640,bm,0,0,0,false,false
2510935,sk89q/worldedit,java,280,1385310628,,1385310638,0,,unknown,false,false,2,1,0,0,0,0,0,0,2,2,2,0,0,34,32859,1464,0,0,20.024955111232842,0.8216926869350862,5.538817371192063,639,skipperguy12,0,0,6,false,false
2482910,sk89q/worldedit,java,279,1384905922,,1384911931,100,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,33,32859,0,0,0,20.024955111232842,0.8216926869350862,5.538817371192063,639,ams2990,0,0,2,false,false
2467488,sk89q/worldedit,java,278,1384726441,1384726649,1384726649,3,3,commits_in_master,false,false,2,2,0,0,0,0,0,0,2,2,2,0,0,33,32844,43,0,13,20.034100596760442,0.8220679576178298,5.541346973572037,639,TomyLobo,14,0.42857142857142855,22,true,true
2422862,sk89q/worldedit,java,277,1384102127,1385832606,1385832606,28841,28841,commits_in_master,false,false,2,8,0,5,5,3,1,0,6,7,7,0,0,33,32845,263,0,18,20.03349063784442,0.8220429289085096,5.541178261531435,638,TomyLobo,13,0.46153846153846156,22,true,true
2387809,sk89q/worldedit,java,276,1383631932,1383632019,1383632019,1,1,commits_in_master,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,38,32840,34,0,10,20.036540803897687,0.8221680876979294,5.542021924482338,637,TomyLobo,12,0.5,22,true,true
2370692,sk89q/worldedit,java,275,1383330295,1383331028,1383331028,12,12,github,false,false,4,4,0,0,0,2,5,0,2,7,7,0,0,39,32274,1194,0,52,20.387928363388486,0.8365867261572784,5.639214228171283,637,TomyLobo,11,0.45454545454545453,22,true,true
2370636,sk89q/worldedit,java,274,1383329835,1383329860,1383329860,0,0,github,false,false,4,2,0,0,0,0,0,0,3,3,3,0,0,39,32076,70,0,6,20.513779773039033,0.8417508417508417,5.674024192542711,637,TomyLobo,10,0.4,22,true,true
2370507,sk89q/worldedit,java,273,1383328301,1383328378,1383328378,1,1,github,false,false,3,1,0,0,0,0,1,0,3,4,4,0,0,39,32038,109,0,9,20.53811099319558,0.8427492352831013,5.680754104500905,637,TomyLobo,9,0.3333333333333333,22,true,true
2350876,sk89q/worldedit,java,272,1383086197,1383329310,1383329310,4051,4051,commits_in_master,false,false,3,2,0,0,0,0,2,0,10,12,12,0,0,35,32038,75,0,15,20.53811099319558,0.8427492352831013,5.680754104500905,637,TomyLobo,8,0.375,22,true,true
2294269,sk89q/worldedit,java,270,1382287359,,1383029626,12311,,unknown,false,true,3,3,7,13,20,4,0,0,3,3,3,0,0,36,32253,584,0,0,19.90512510464143,0.8061265618702137,5.611881065327257,636,ggrote,0,0,1,false,false
2294046,sk89q/worldedit,java,269,1382272546,1383330208,1383330208,17567,17567,commits_in_master,false,false,3,2,0,0,0,0,2,0,2,4,4,0,0,38,32253,579,0,7,19.90512510464143,0.8061265618702137,5.611881065327257,636,TomyLobo,6,0.5,22,true,true
2289064,sk89q/worldedit,java,268,1380732260,1382133646,1382133646,23356,23356,commits_in_master,false,false,4,4,0,1,1,1,0,0,4,4,4,0,0,37,32213,136,0,3,19.929841989258993,0.8071275571974048,5.618849532797318,631,TomyLobo,5,0.6,22,true,true
2196278,sk89q/worldedit,java,267,1380732113,1382330469,1382330469,26639,26639,commits_in_master,false,false,4,17,0,6,6,3,1,1,5,7,7,0,0,37,32213,1103,49,1,19.929841989258993,0.8071275571974048,5.618849532797318,631,TomyLobo,4,0.75,22,true,true
2155052,sk89q/worldedit,java,266,1380055579,1380128387,1380128387,1213,1213,github,false,false,4,1,0,0,0,0,0,0,2,2,2,0,0,39,32098,19,65,5,18.287743784659483,0.7788647267742538,5.327434731135896,631,TomyLobo,3,0.6666666666666666,22,true,true
2134602,sk89q/worldedit,java,265,1379779232,1383329510,1383329510,59111,59111,commits_in_master,true,false,4,4,0,16,16,4,1,0,17,18,18,0,0,32,32098,220,0,5,18.287743784659483,0.7788647267742538,5.327434731135896,630,TomyLobo,2,1.0,22,true,true
2134531,sk89q/worldedit,java,264,1379777395,1379867953,1379867953,1509,1509,github,true,false,4,5,0,5,5,4,3,0,18,21,21,0,0,32,31825,444,0,6,18.444619010212097,0.7855459544383347,5.3731343283582085,630,TomyLobo,1,1.0,22,true,true
2124929,sk89q/worldedit,java,263,1379610263,1380505772,1380505772,14925,14925,merged_in_comments,false,false,4,7,0,16,16,5,2,0,12,14,9,2,2,32,31825,572,0,0,18.444619010212097,0.7855459544383347,5.3731343283582085,630,davboecki,0,0,29,false,false
2056619,sk89q/worldedit,java,262,1378358255,,1378387997,495,,unknown,false,false,4,1,0,2,2,4,0,0,1,1,1,0,0,33,31825,2,0,0,18.444619010212097,0.7855459544383347,5.3731343283582085,630,hunter688,0,0,2,false,false
2052634,sk89q/worldedit,java,261,1378290733,,1378299263,142,,unknown,false,false,4,1,0,3,3,2,0,0,1,1,1,0,0,33,31825,2,0,0,18.444619010212097,0.7855459544383347,5.3731343283582085,630,xMRKIRO,0,0,0,false,false
2029219,sk89q/worldedit,java,260,1378120319,,1380505041,39745,,unknown,false,false,4,2,0,2,2,3,0,0,1,1,1,0,0,33,31825,20,0,0,18.444619010212097,0.7855459544383347,5.3731343283582085,628,Aiquen,0,0,0,false,false
1976433,sk89q/worldedit,java,259,1377257702,,1377265124,123,,unknown,false,false,5,98,0,1,1,2,25,0,76,101,85,3,6,39,31758,5063,36,0,18.48353170854588,0.7872032243844072,5.384470054789345,625,damagefilter,0,0,5,false,false
1917321,sk89q/worldedit,java,258,1376113771,1377327796,1377327796,20233,20233,github,false,false,5,11,0,4,4,4,0,0,4,4,4,0,0,39,31732,196,0,0,18.49867641497542,0.7878482289171814,5.388881885793521,624,TomyLobo,0,0,20,true,true
1911736,sk89q/worldedit,java,257,1375998262,,1375999264,16,,unknown,false,false,5,1,0,0,0,2,0,0,1,1,1,0,0,39,31732,7,0,0,18.49867641497542,0.7878482289171814,5.388881885793521,624,conzy24,1,0.0,0,false,false
1900788,sk89q/worldedit,java,256,1375879909,,1375880057,2,,unknown,false,false,5,3,10,9,19,5,0,0,4,4,4,0,0,38,31733,10,0,0,18.498093467368356,0.7878234015063184,5.388712066303218,624,dpraul,1,0.0,0,false,false
1903401,sk89q/worldedit,java,255,1375766460,,1375880085,1893,,unknown,false,false,5,20,0,9,9,5,5,0,24,29,28,0,0,38,31713,1321,0,0,18.50975940466055,0.7883202472172296,5.39211049096585,624,dpraul,0,0,0,false,false
