pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2698194,slick/slick,scala,588,1387968026,1388221173,1388221173,4219,4219,commits_in_master,false,false,2,1,0,2,2,2,0,0,1,1,0,1,0,52,14228,0,0,1,109.50238965420297,1.8273826258082655,1.405678942929435,805,VlachJosef,0,0,0,false,false
2695849,slick/slick,scala,587,1387896976,1387896992,1387896992,0,0,commits_in_master,false,false,2,1,0,0,0,0,2,0,16,18,7,9,2,53,14180,177,0,30,109.87306064880113,1.8335684062059237,1.4104372355430184,805,cvogt,26,0.23076923076923078,24,true,true
2689048,slick/slick,scala,584,1387783987,1387896910,1387896910,1882,1882,commits_in_master,false,false,2,1,0,0,0,0,0,0,6,6,5,1,0,53,14073,59,0,5,110.70844880267178,1.847509415192212,1.421161088609394,804,cvogt,25,0.24,24,true,true
2661251,slick/slick,scala,578,1387352053,1387352059,1387352059,0,0,github,false,false,2,1,0,0,0,0,1,0,1,2,1,1,1,52,14073,2,0,6,110.70844880267178,1.847509415192212,1.421161088609394,804,cvogt,23,0.21739130434782608,24,true,true
2631579,slick/slick,scala,571,1386924561,1387319029,1387319029,6574,6574,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,54,12871,2,0,0,94.94211793955404,0.9323284904047859,0.310776163468262,803,szeiger,54,0.48148148148148145,68,true,true
2608749,slick/slick,scala,556,1386683611,1387315122,1387315122,10525,10525,commits_in_master,false,false,2,1,0,1,1,1,0,0,8,8,8,0,0,54,12871,35,0,8,94.94211793955404,0.9323284904047859,0.310776163468262,803,szeiger,52,0.5,68,true,true
2560980,slick/slick,scala,555,1386649581,1387320641,1387320641,11184,11184,commits_in_master,false,false,2,2,4,2,6,3,12,0,5,17,14,0,1,55,12871,94,0,4,94.94211793955404,0.9323284904047859,0.310776163468262,803,cvogt,22,0.22727272727272727,24,true,true
2586949,slick/slick,scala,551,1386338552,1387314694,1387314694,16269,16269,commits_in_master,false,false,2,1,0,1,1,1,0,0,4,4,4,0,0,61,12871,30,0,3,94.94211793955404,0.9323284904047859,0.310776163468262,803,szeiger,51,0.5098039215686274,68,true,true
2571706,slick/slick,scala,547,1386152115,1387896030,1387896030,29065,29065,commits_in_master,false,false,2,5,0,2,2,2,5,1,11,17,3,11,2,65,12871,328,0,18,94.94211793955404,0.9323284904047859,0.310776163468262,803,szeiger,50,0.52,68,true,true
2561517,slick/slick,scala,541,1385742586,1387308242,1387308242,26094,26094,commits_in_master,false,false,2,5,12,15,27,3,22,0,21,43,33,1,9,67,12871,3415,758,36,94.94211793955404,0.9323284904047859,0.310776163468262,803,cvogt,21,0.23809523809523808,24,true,true
2537228,slick/slick,scala,534,1385648619,1385724634,1385724634,1266,1266,commits_in_master,false,false,2,4,2,2,4,2,2,1,19,22,22,0,0,68,12790,1095,0,32,95.54339327599686,0.9382329945269742,0.3127443315089914,803,szeiger,48,0.5416666666666666,68,true,true
2522509,slick/slick,scala,532,1385467266,1385485470,1385485470,303,303,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,69,12787,2,0,1,95.56580902479081,0.9384531164463908,0.3128177054821303,803,szeiger,47,0.5531914893617021,68,true,true
2522226,slick/slick,scala,531,1385463834,1385485601,1385485601,362,362,commits_in_master,false,false,2,1,0,2,2,4,0,0,5,5,5,0,0,68,12787,52,0,23,95.56580902479081,0.9384531164463908,0.3128177054821303,803,szeiger,46,0.5652173913043478,68,true,true
2521297,slick/slick,scala,530,1385452827,,1386768645,21930,,unknown,false,true,2,15,40,6,46,3,21,0,26,47,28,0,9,68,12787,2089,215,47,95.56580902479081,0.9384531164463908,0.3128177054821303,803,cvogt,19,0.2631578947368421,24,true,true
2514499,slick/slick,scala,529,1385372580,1385372629,1385372629,0,0,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,69,12787,0,0,1,95.56580902479081,0.9384531164463908,0.3128177054821303,803,waffleio,0,0,7,false,false
2487297,slick/slick,scala,255,1384962126,1387312044,1387312044,39165,39165,commits_in_master,false,false,2,2,7,2,9,2,2,0,4,6,6,0,0,68,12787,34,16,11,95.56580902479081,0.9384531164463908,0.3128177054821303,802,cvogt,18,0.2777777777777778,24,true,true
2451059,slick/slick,scala,251,1384448385,,1384506999,976,,unknown,false,false,2,1,0,3,3,3,0,0,1,1,1,0,0,69,12930,12,0,2,96.59706109822119,0.9280742459396751,0.30935808197989173,802,xeno-by,0,0,61,false,true
