pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2768727,sonatype/nexus-oss,java,309,1389218215,1389292081,1389292081,1231,1231,github,false,false,8,1,0,4,4,4,2,1,4,7,5,2,1,70,136703,306,39,55,658.2591457393034,17.20518203697066,56.72882087445045,41,jdillon,73,0.1095890410958904,13,true,true
2743957,sonatype/nexus-oss,java,308,1389206285,1389292039,1389292039,1429,1429,github,false,false,8,7,2,2,4,2,4,0,6,10,8,0,0,70,151222,237,211,4,613.9450609038367,15.923608998690668,52.77671238311886,41,jdillon,72,0.09722222222222222,13,true,true
2764954,sonatype/nexus-oss,java,307,1389176362,1389212221,1389212221,597,597,github,false,false,8,1,0,2,2,2,0,0,3,3,2,0,1,70,151222,75,0,2,613.9450609038367,15.923608998690668,52.77671238311886,41,cstamas,113,0.1415929203539823,11,true,true
2764796,sonatype/nexus-oss,java,306,1389174596,1389212208,1389212208,626,626,github,false,false,8,1,0,2,2,2,0,0,1,1,1,0,0,70,151222,10,0,0,613.9450609038367,15.923608998690668,52.77671238311886,41,cstamas,112,0.13392857142857142,11,true,true
2764300,sonatype/nexus-oss,java,305,1389167920,1389251810,1389251810,1398,1398,github,false,false,8,1,0,3,3,3,0,2,1,3,1,0,2,70,136687,94,0,3,657.3851207503274,17.199880017851,56.69888138594014,41,adreghiciu,90,0.25555555555555554,5,true,true
2761565,sonatype/nexus-oss,java,304,1389125218,,1389291072,2764,,unknown,false,false,8,14,0,5,5,2,3,1,8,12,8,2,0,69,151278,272,213,0,613.7177910866087,15.917714406589193,52.75717553114134,41,jdillon,71,0.09859154929577464,13,true,true
2752439,sonatype/nexus-oss,java,303,1389003852,1389010538,1389010538,111,111,github,false,false,8,1,0,3,3,3,3,0,1,4,2,2,0,68,136540,10,74,9,656.4230262194228,17.06459645525121,56.53288413651677,41,cstamas,111,0.12612612612612611,11,true,true
2750072,sonatype/nexus-oss,java,302,1388951757,1389144525,1389144525,3212,3212,github,false,false,8,6,0,7,7,4,4,0,6,10,8,0,0,67,136547,227,211,8,656.2355818875551,17.06372164895604,56.52998601214234,41,jdillon,70,0.08571428571428572,13,true,true
2719918,sonatype/nexus-oss,java,301,1388386960,1389001697,1389001697,10245,10245,commits_in_master,false,false,8,1,0,3,3,2,0,0,1,1,1,0,0,67,136547,0,24,9,656.2355818875551,17.06372164895604,56.52998601214234,40,adreghiciu,89,0.25842696629213485,5,true,true
2676361,sonatype/nexus-oss,java,300,1387521382,1389096274,1389096274,26248,26248,merged_in_comments,false,false,8,23,6,0,6,2,22,0,27,49,25,13,2,64,136436,1596,136,260,655.0104078102553,17.033627488346184,56.03359817057082,38,adreghiciu,88,0.26136363636363635,5,true,true
