pull_req_id, project_name, github_id, created_at,merged_at, lifetime_minutes, team_size_at_merge, num_commits, num_commit_comments, num_issue_comments, num_comments, total_commits_last_month, main_team_commits_last_month, sloc, churn, commits_on_files_touched, test_lines_per_1000_lines, test_cases_per_1000_lines, assertions_per_1000_lines
454242, spring-framework, 160, 1349641556, 1349641758, 3, 12, 1, 0, 0, 0, 121, 78, 183053, 2115, 33, 1204.186765581553, 53.54187038726489, 144.00201034673017
454241, spring-framework, 159, 1349448303, 1349452381, 67, 12, 1, 0, 0, 0, 137, 85, 183054, 10, 2, 1203.978061118577, 53.5251892884067, 143.9247435183061
334163, spring-framework, 125, 1346096428, 1346149986, 892, 15, 2, 0, 0, 0, 68, 32, 181446, 170, 5, 1154.7016743273482, 51.45332495618531, 140.75813189599108
254975, spring-framework, 121, 1345462098, 1345462466, 6, 15, 0, 0, 0, 0, 52, 11, 180533, 0, 0, 1165.199714179679, 51.85201597491871, 141.7635556934189
226309, spring-framework, 109, 1343201937, 1343205106, 52, 15, 0, 0, 0, 0, 76, 59, 180241, 0, 0, 1154.5763727453798, 51.708545780371836, 141.14435672238838
7272, spring-framework, 105, 1342028619, 1342032267, 60, 15, 0, 0, 0, 0, 202, 162, 179907, 0, 0, 1155.319137109729, 51.71005019259951, 141.20628991645685
159665, spring-framework, 95, 1339683624, 1339743449, 997, 17, 1, 0, 0, 0, 152, 124, 179170, 1, 9, 1157.0854495730312, 51.760897471674944, 141.35737009544007
142664, spring-framework, 86, 1338479328, 1338549674, 1172, 16, 1, 0, 0, 0, 156, 139, 179135, 112, 0, 1156.9319228514807, 51.74309878024953, 141.38498897479553
121492, spring-framework, 77, 1336791769, 1336798207, 107, 12, 1, 0, 0, 0, 59, 40, 178183, 92, 22, 1155.6770286727692, 51.71088150945938, 141.1021253430462
117986, spring-framework, 76, 1336576933, 1336577140, 3, 11, 1, 0, 0, 0, 39, 21, 177867, 1138, 21, 1154.9922132829586, 51.67344139160159, 140.9423895382505
113000, spring-framework, 73, 1336155344, 1336155378, 0, 11, 1, 0, 0, 0, 40, 22, 177674, 1247, 17, 1155.7571732498845, 51.7126872812004, 141.00543692380427
94967, spring-framework, 69, 1334776052, 1334776609, 9, 12, 1, 0, 0, 0, 39, 23, 176940, 2604, 31, 1156.9289024528089, 51.69548999660902, 141.17214875098904
299189, spring-framework, 67, 1334598194, 1334640410, 703, 12, 1, 0, 0, 0, 37, 21, 176940, 6, 3, 1156.9289024528089, 51.69548999660902, 141.17214875098904
291295, spring-framework, 61, 1333119460, 1334640221, 25346, 12, 3, 0, 0, 0, 37, 21, 176940, 54, 8, 1156.9289024528089, 51.69548999660902, 141.17214875098904
272823, spring-framework, 33, 1328812521, 1329056361, 4064, 7, 2, 0, 0, 0, 97, 55, 176647, 340, 7, 1156.6966888766863, 51.65669385837291, 141.1175961097556
273880, spring-framework, 25, 1328302282, 1329056235, 12565, 7, 1, 0, 0, 0, 97, 55, 176647, 15, 1, 1156.6966888766863, 51.65669385837291, 141.1175961097556
272006, spring-framework, 16, 1326202204, 1328695099, 41548, 6, 1, 0, 0, 0, 60, 23, 176299, 103, 2, 1156.705369854622, 51.66790509305214, 140.85162139320133
270182, spring-framework, 21, 1327538062, 1328130383, 9872, 3, 2, 0, 0, 0, 42, 8, 176226, 664, 4, 1156.5603259450932, 51.643911795081316, 140.85322256647714
268324, spring-framework, 22, 1327681042, 1328019602, 5642, 3, 23, 0, 0, 0, 35, 4, 176218, 1724348, 5994, 1156.3858402660342, 51.64058155239533, 140.81989354095495
