pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2738397,square/retrofit,java,371,1389073840,1389074457,1389074457,10,10,github,false,false,5,1,1,0,1,1,0,0,1,1,1,0,0,50,3816,5,0,2,1010.7442348008386,47.43186582809224,126.0482180293501,1157,matthewmichihara,1,1.0,13,false,false
2697896,square/retrofit,java,369,1387958728,1387960238,1387960238,25,25,commits_in_master,false,false,4,1,0,2,2,2,0,0,1,1,1,0,0,51,3816,2,0,3,1010.7442348008386,47.43186582809224,126.0482180293501,1157,flash-ua,0,0,0,false,false
2602601,square/retrofit,java,365,1386609475,1386609997,1386609997,8,8,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,49,3808,15,0,2,1012.8676470588236,47.53151260504202,126.31302521008404,1155,loganj,2,0.5,6,true,true
2595685,square/retrofit,java,364,1386503019,1386529698,1386529698,444,444,github,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,50,3808,2,0,3,1012.6050420168067,47.53151260504202,126.31302521008404,1155,DushyanthMaguluru,0,0,4,false,false
2554375,square/retrofit,java,359,1385946819,1387471659,1387471659,25414,25414,commits_in_master,false,false,4,5,15,4,19,3,0,0,1,1,0,1,0,48,3808,0,0,10,1012.6050420168067,47.53151260504202,126.31302521008404,1154,swanson,0,0,103,false,false
2463262,square/retrofit,java,357,1384630177,1384644238,1384644238,234,234,commits_in_master,false,false,4,2,0,0,0,1,0,0,1,1,1,0,0,48,3808,10,0,10,1012.6050420168067,47.53151260504202,126.31302521008404,1151,jdreesen,0,0,8,false,false
2460437,square/retrofit,java,356,1384558885,1384560128,1384560128,20,20,commits_in_master,false,false,4,2,1,0,1,1,2,0,3,5,3,2,0,48,3706,163,0,23,1040.4749055585537,48.83971937398813,129.78953049109552,1151,JakeWharton,118,0.8898305084745762,1214,true,true
2422820,square/retrofit,java,353,1384101578,1384108410,1384108410,113,113,commits_in_master,false,false,4,3,0,1,1,3,0,0,2,2,2,0,0,47,3695,4,19,3,1039.2422192151555,48.71447902571042,129.63464140730719,1150,mironov-nsk,0,0,1,false,false
2420446,square/retrofit,java,352,1384041291,1384273919,1384273919,3877,3877,commits_in_master,false,false,4,2,0,14,14,4,1,0,0,1,1,0,0,46,3695,66,0,0,1039.2422192151555,48.71447902571042,129.63464140730719,1150,atermenji,0,0,53,false,false
2419356,square/retrofit,java,351,1384022904,1384023267,1384023267,6,6,commits_in_master,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,46,3695,0,0,2,1039.2422192151555,48.71447902571042,129.63464140730719,1150,ataulm,0,0,1,false,false
2415170,square/retrofit,java,350,1383940411,1383945562,1383945562,85,85,commits_in_master,false,false,4,11,10,3,13,4,0,0,11,11,7,4,0,45,3607,544,660,41,1026.3376767396728,47.68505683393401,128.91599667313557,1150,loganj,1,1.0,5,false,true
2414500,square/retrofit,java,349,1383934062,1383942373,1383942373,138,138,commits_in_master,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,47,3607,3,0,0,1026.3376767396728,47.68505683393401,128.91599667313557,1150,johnlcox,0,0,8,false,false
