pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2720055,statsmodels/statsmodels,python,1278,1388390098,1388390295,1388390295,3,3,commit_sha_in_comments,false,false,5,1,0,0,0,1,1,0,0,1,1,0,0,67,45848,74,0,0,993.8492409701622,31.45175362065957,70.25388239399756,538,dfrusdn,3,0.0,0,false,false
2713367,statsmodels/statsmodels,python,1274,1388203556,1388391297,1388391297,3129,3129,commit_sha_in_comments,false,false,5,1,0,2,2,2,1,0,0,1,1,0,0,67,45782,165,0,0,994.4082827312044,31.45340963697523,70.28963348040715,538,dfrusdn,1,0.0,0,false,false
2708501,statsmodels/statsmodels,python,1273,1388142011,,1388391261,4154,,unknown,false,false,5,1,8,5,13,4,0,0,1,1,1,0,0,66,45782,42,0,0,994.4082827312044,31.45340963697523,70.28963348040715,538,dfrusdn,0,0,0,false,false
2703596,statsmodels/statsmodels,python,1271,1388103802,1388284612,1388284612,3013,3013,commits_in_master,false,false,5,12,27,36,63,3,2,0,7,9,7,0,0,66,45782,287,101,80,994.4082827312044,31.45340963697523,70.28963348040715,538,Padarn,4,0.0,0,false,false
2686212,statsmodels/statsmodels,python,1264,1387715423,1387887887,1387887887,2874,2874,commits_in_master,false,false,5,4,13,8,21,3,0,0,9,9,5,4,0,66,45677,312,0,130,994.986535893338,31.262998883464324,70.45121176959958,538,josef-pkt,124,0.5806451612903226,11,false,true
2673839,statsmodels/statsmodels,python,1258,1387482401,1387502915,1387502915,341,341,commits_in_master,false,false,6,36,0,2,2,2,11,0,7,18,11,0,3,66,45119,1971,2998,1,940.7345020944613,31.206365389303844,69.83754072563666,538,josef-pkt,123,0.5853658536585366,11,false,true
2671339,statsmodels/statsmodels,python,1255,1387459544,1387480363,1387480363,346,346,commits_in_master,false,false,6,112,13,10,23,3,28,7,21,56,18,0,14,66,44236,16116,8470,2,930.3056334207432,31.51279500859029,70.34994122434217,538,josef-pkt,122,0.5901639344262295,11,true,true
2669109,statsmodels/statsmodels,python,1254,1387425517,1387466896,1387466896,689,689,commits_in_master,false,false,6,1,0,3,3,2,0,0,2,2,2,0,0,66,44236,8,56,20,930.3056334207432,31.51279500859029,70.34994122434217,538,josef-pkt,121,0.5950413223140496,11,false,true
2667451,statsmodels/statsmodels,python,1253,1387398571,1387413825,1387413825,254,254,github,false,false,6,3,0,2,2,2,0,0,2,2,2,0,0,66,44237,3,43,70,929.4481994710311,31.466871623301756,70.19011234939077,538,josef-pkt,120,0.5916666666666667,11,false,true
2667036,statsmodels/statsmodels,python,1251,1387393521,1387413825,1387413825,338,338,commits_in_master,false,false,6,17,0,2,2,2,1,1,5,7,6,0,0,66,44237,563,385,70,929.4481994710311,31.466871623301756,70.19011234939077,538,bashtage,4,0.0,1,false,false
2649078,statsmodels/statsmodels,python,1240,1387217116,1387333265,1387333265,1935,1935,commits_in_master,true,false,6,14,7,14,21,3,2,0,4,6,5,0,1,65,44229,242,236,0,923.9865246783784,31.24646724999435,69.66017771145629,538,josef-pkt,119,0.5966386554621849,11,false,true
2643139,statsmodels/statsmodels,python,1233,1387135702,1387334915,1387334915,3320,3320,commits_in_master,false,false,6,9,0,3,3,2,2,0,2,4,2,0,1,65,44229,24,326,4,923.9865246783784,31.24646724999435,69.66017771145629,538,josef-pkt,117,0.6068376068376068,11,false,true
2635887,statsmodels/statsmodels,python,1230,1386968478,1387128061,1387128061,2659,2659,commits_in_master,false,false,6,1,0,2,2,2,0,0,2,2,2,0,0,65,44228,5,3,51,923.9848060052456,31.247173736094783,69.63914262458171,538,josef-pkt,116,0.6120689655172413,11,false,true
2619894,statsmodels/statsmodels,python,1228,1386806038,1387149457,1387149457,5723,5723,commits_in_master,false,false,6,2,1,3,4,3,0,0,1,1,1,0,0,67,44228,12,0,0,923.9848060052456,31.247173736094783,69.63914262458171,538,gliptak,0,0,3,false,false
2619830,statsmodels/statsmodels,python,1227,1386805124,1386968647,1386968647,2725,2725,commit_sha_in_comments,false,false,6,4,0,2,2,2,0,0,2,2,2,0,0,67,44228,3,18,0,923.9848060052456,31.247173736094783,69.63914262458171,538,josef-pkt,115,0.6173913043478261,11,false,true
2617475,statsmodels/statsmodels,python,1225,1386780607,1387504291,1387504291,12061,12061,commits_in_master,false,false,6,8,0,5,5,2,3,0,2,5,4,0,1,69,44159,176,1615,3,920.9221223306687,30.82044430353948,69.27240200185693,538,josef-pkt,114,0.6228070175438597,11,false,true
2545128,statsmodels/statsmodels,python,1214,1385773105,1386786412,1386786413,16888,16888,github,true,false,6,14,2,4,6,2,0,0,2,2,2,0,0,68,44159,418,283,149,920.9221223306687,30.82044430353948,69.27240200185693,537,josef-pkt,113,0.6194690265486725,11,false,true
2522948,statsmodels/statsmodels,python,1208,1385472270,1387334916,1387334916,31044,31044,fixes_in_commit,false,true,6,1,0,3,3,2,0,0,1,1,1,0,0,69,43873,2,0,0,889.2940988763021,30.679461172019238,68.58432293209947,537,hmgaudecker,0,0,0,false,false
