pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2729600,stephenmcd/mezzanine,python,874,1388599738,1388737053,1388737053,2288,2288,commits_in_master,false,false,5,1,0,1,1,1,0,0,1,1,1,0,0,38,14583,4,0,1,48.823973119385585,1.9200438867174106,6.99444558732771,1610,tyescott,0,0,0,false,false
2702028,stephenmcd/mezzanine,python,864,1388072541,,1388184733,1869,,unknown,false,false,5,4,0,3,3,1,0,0,2,2,1,1,0,40,14732,12,0,0,48.330165625848494,1.9006244909041543,6.923703502579419,1610,clemensbasti,6,0.16666666666666666,0,false,false
2701979,stephenmcd/mezzanine,python,863,1388071602,,1388071781,2,,unknown,false,false,5,1,0,0,0,1,0,0,1,1,0,1,0,40,14727,0,0,0,48.00706185917023,1.901269776600801,6.926054186188633,1610,clemensbasti,5,0.2,0,false,false
2698926,stephenmcd/mezzanine,python,861,1387988794,1388002985,1388002985,236,236,commits_in_master,false,false,5,2,0,1,1,1,0,0,2,2,0,2,0,41,14729,0,0,6,48.34000950505805,1.9010116097494738,6.925113721230225,1610,clemensbasti,4,0.25,0,false,false
2665630,stephenmcd/mezzanine,python,857,1387382108,1387399951,1387399951,297,297,github,false,false,5,1,0,1,1,1,0,0,1,1,0,1,0,48,14727,0,0,0,48.00706185917023,1.901269776600801,6.926054186188633,1609,bors-ltd,0,0,0,false,false
2665511,stephenmcd/mezzanine,python,856,1387381193,1387399950,1387399950,312,312,github,false,false,5,1,0,1,1,1,0,0,2,2,0,0,1,47,14727,0,0,2,48.00706185917023,1.901269776600801,6.926054186188633,1609,leoleozhu,0,0,0,false,false
2657023,stephenmcd/mezzanine,python,854,1387306427,1387322709,1387322709,271,271,commits_in_master,false,false,5,1,0,3,3,2,0,0,1,1,0,1,0,48,14720,0,0,18,48.02989130434782,1.9021739130434783,6.929347826086956,1609,gavinwahl,10,0.9,11,false,false
2649939,stephenmcd/mezzanine,python,853,1387224254,1387322709,1387322709,1640,1640,commits_in_master,false,false,5,4,0,2,2,3,0,0,4,4,2,2,0,47,14720,12,0,19,48.02989130434782,1.9021739130434783,6.929347826086956,1609,clemensbasti,3,0.3333333333333333,0,false,false
2644650,stephenmcd/mezzanine,python,852,1387165935,1387166677,1387166677,12,12,merged_in_comments,false,false,5,2,0,0,0,2,0,0,2,2,1,1,0,47,14714,6,0,0,48.04947668886775,1.9029495718363465,6.932173440260976,1609,wearpants,0,0,6,false,false
2639550,stephenmcd/mezzanine,python,851,1387048868,1387147864,1387147864,1649,1649,commits_in_master,false,false,5,1,0,1,1,1,0,0,1,1,1,0,0,47,14713,4,0,8,48.05274247264324,1.903078909807653,6.932644600013593,1609,clemensbasti,2,0.5,0,false,false
