pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
795760,storm,428,1357539290,1357541985,1357541985,44,44,1,1,2,1,99,43978,2,0,1,0.0,5290,herberteuler,2,0.0,0,false,false
902790,storm,426,1356241821,1357366403,1357366403,18743,18743,1,1,0,3,99,43975,16,0,8,0.0,10454,xiaokang,1,0.0,18,false,false
620650,storm,415,1354431602,,1354431919,5,,1,1,0,1,87,43911,11,0,0,0.0,10156,MichaelBlume,1,0.0,26,false,false
589836,storm,413,1354223665,1354225042,1354225042,22,22,1,3,3,5,86,43744,97,0,0,0.0,10118,sritchie,1,0.0,122,false,false
589681,storm,412,1354222457,,1354222561,1,,1,1,1,1,86,43744,39,0,0,0.0,10118,sritchie,0,0,122,false,false
654270,storm,407,1353595104,1353911846,1353911846,5279,5279,2,1,3,1,80,43744,4,0,0,0.0,5032,shell0dh,0,0,0,false,false
654272,storm,404,1353451518,,1354772989,22024,,2,1,2,1,80,43744,4,0,0,0.0,5027,ebroder,0,0,15,false,false
497137,storm,402,1353303169,,1353389425,1437,,2,2,8,2,79,40641,44,0,0,0.0,5025,herberteuler,1,0.0,0,false,false
478068,storm,399,1352850035,,1352875627,426,,3,1,1,1,72,43744,0,0,0,0.0,5020,snrobot,0,0,1,false,false
471000,storm,398,1352744796,1354225653,1354225654,24680,24680,3,2,0,2,72,43744,155,0,0,0.0,5020,emblem,1,1.0,4,false,false
458997,storm,395,1352393504,1352395652,1352395652,35,35,3,1,1,1,70,43744,20,0,17,0.0,5018,Frostman,7,0.5714285714285714,11,false,false
654278,storm,394,1351876361,,1351878643,38,,3,1,4,1,66,43746,19,0,0,0.0,5015,Frostman,6,0.6666666666666666,11,false,false
478425,storm,390,1351661492,1358998943,1353378830,28622,122290,3,57,14,435,60,43746,8949,0,1528,0.0,5012,jasonjckn,7,0.7142857142857143,16,false,true
654280,storm,388,1351351107,1351544685,1351544685,3166,3166,3,2,1,4,56,43672,91,0,13,0.0,5008,xumingming,24,0.625,122,false,false
654282,storm,387,1351314728,1351545584,1351545584,3787,3787,3,1,1,2,55,43672,101,0,11,0.0,5008,xumingming,23,0.6086956521739131,122,false,false
654283,storm,384,1351173686,1353515440,1353515440,38969,38969,3,0,0,0,53,43744,0,0,0,0.0,5006,gsilk,2,1.0,7,false,false
590296,storm,382,1351105529,1354225693,1354225694,51942,51942,3,1,0,1,52,43313,12,0,1,0.0,5006,emblem,0,0,4,false,false
654284,storm,380,1351020893,1351092576,1351092576,1194,1194,3,2,5,5,50,43201,46,0,6,0.0,5004,Lazyshot,0,0,6,false,false
654288,storm,375,1350564760,1350578634,1350578634,231,231,3,1,0,1,46,43195,2,0,0,0.0,4999,Frostman,5,0.6,11,false,false
493102,storm,371,1350523065,,1355259202,78875,,3,32,12,110,46,43746,2667,0,585,0.0,4997,Frostman,4,0.75,11,false,false
654290,storm,366,1350362182,1350417443,1350417443,921,921,3,1,6,1,44,43195,6,0,31,0.0,4995,gsilk,1,1.0,7,false,false
654292,storm,364,1350233263,1350345750,1350345750,1874,1874,3,1,7,1,44,43195,6,0,12,0.0,4991,gsilk,0,0,7,false,false
654293,storm,354,1349476901,1349883473,1349883473,6776,6776,3,2,2,5,31,41321,596,0,14,0.0,4951,rnfein,0,0,5,false,false
447896,storm,349,1349008135,1349810349,1349810349,13370,13370,3,1,0,1,25,41169,0,0,1,0.0,9858,Frostman,3,0.6666666666666666,20,false,false
447882,storm,348,1349007238,1349905404,1349905404,14969,14969,3,9,12,58,25,41169,2462,0,208,0.0,9858,Frostman,2,0.5,20,false,false
440867,storm,346,1348723186,,1348771650,807,,3,1,1,1,22,41130,5,0,0,0.0,4912,liangbo,0,0,0,false,false
440290,storm,344,1348694954,1348772123,1348772123,1286,1286,3,3,1,3,21,41130,76,0,29,0.0,4912,jasonjckn,6,0.6666666666666666,14,false,true
428597,storm,339,1348236581,,1349880077,27391,,3,1,1,5,20,41112,95,0,0,0.0,9778,xumingming,21,0.6666666666666666,226,false,false
427856,storm,338,1348209291,,1351338550,52154,,3,1,2,2,20,41112,9,0,0,0.0,4888,xumingming,20,0.7,113,false,false
402945,storm,329,1347556748,1347902218,1347902218,5757,5757,3,1,4,1,17,41064,2,0,0,0.0,9656,Frostman,0,0,20,false,false
366354,storm,328,1347305452,1349892510,1349892510,43117,43117,3,9,4,49,15,41063,1209,0,172,0.0,9608,jasonjckn,5,0.6,26,false,true
364362,storm,327,1347239878,1349894113,1349894113,44237,44237,3,8,3,51,14,41063,3934,0,240,0.0,4801,jasonjckn,4,0.5,13,false,true
353651,storm,320,1346785511,,1346857656,1202,,3,2,3,2,15,40886,0,0,0,0.0,9552,gjcourt,0,0,8,false,false
352701,storm,319,1346760340,1346878320,1346878320,1966,1966,3,1,6,4,14,40886,29,0,1,0.0,9550,okapies,0,0,22,false,false
349693,storm,318,1346626863,1346654097,1346654097,453,453,4,1,0,1,14,40886,2,0,2,0.0,4769,minghan,0,0,6,false,false
298348,storm,315,1346129145,1346192070,1346192070,1048,1048,3,7,6,14,12,40817,189,0,78,0.0,4741,jasonjckn,3,0.3333333333333333,13,false,true
334613,storm,314,1346111293,1346114261,1346114261,49,49,3,1,1,1,12,40817,0,0,37,0.0,4741,danehammer,0,0,0,false,false
315500,storm,312,1345958126,1350581005,1350581005,77047,77047,3,13,5,20,11,40817,107,0,63,0.0,4733,tjun,2,0.0,10,false,false
248762,storm,300,1345135383,,1345135508,2,,3,6,1,42,32,40713,263,0,158,0.0,9394,jasonjckn,2,0.5,26,false,true
246565,storm,295,1345056824,1346114631,1346114631,17630,17630,3,1,0,1,33,40662,3,0,0,0.0,9378,amuraru,0,0,4,false,false
245578,storm,294,1345028265,1346950762,1346950762,32041,32041,3,1,0,2,33,40662,10,0,0,0.0,9374,barrywhart,0,0,0,false,false
69780,storm,293,1345006756,,1347901138,48239,,3,11,6,68,32,40662,621,0,331,0.0,4686,jasonjckn,1,1.0,13,false,true
241973,storm,291,1344896799,1344896965,1344896965,2,2,2,1,0,1,33,40646,28,0,0,0.0,4681,jasonjckn,0,0,13,false,true
238415,storm,288,1344687103,1344930757,1344930757,4060,4060,2,1,5,2,33,40646,34,0,4,0.0,9340,sjoerdmulder,1,1.0,2,false,false
15204,storm,286,1344486493,1344585414,1344585414,1648,1648,2,6,0,9,31,40647,166,0,9,0.0,4657,sjoerdmulder,0,0,1,false,false
9741,storm,284,1344329626,1344582923,1344582923,4221,4221,2,1,0,1,30,40646,2,0,1,0.0,4643,ddutta,0,0,1,false,false
242732,storm,277,1343419323,,1344930408,25184,,2,1,6,1,33,33521,2,0,0,0.0,9122,ptgoetz,1,0.0,28,false,false
225993,storm,275,1343184970,1343195619,1343195619,177,177,2,1,0,3,33,33498,49,0,15,0.0,4540,xumingming,18,0.7222222222222222,93,false,false
220898,storm,271,1342953019,1343027994,1343027994,1249,1249,2,1,0,1,33,33502,2,0,0,0.0,4513,vinodc,1,1.0,1,false,false
220892,storm,270,1342952616,1343371849,1343371849,6987,6987,2,1,4,1,33,33502,20,0,1,0.0,4513,vinodc,0,0,1,false,false
192439,storm,266,1342277981,1346881062,1346881063,76718,76718,2,19,10,49,33,33511,1901,0,50,0.0,4429,xumingming,17,0.7058823529411765,88,false,false
184933,storm,256,1341224659,1350538014,1350538014,155222,155222,2,1,0,1,35,33400,6,0,1,0.0,4305,jeanvc,0,0,0,false,false
167493,storm,249,1340216098,,1340730880,8579,,2,2,5,128,42,32923,2489,0,0,0.0,4232,cliffmoon,0,0,177,false,false
163111,storm,246,1339979290,,1341256133,21280,,2,1,2,1,43,30847,2,0,0,0.0,4199,herberteuler,0,0,0,false,false
153840,storm,242,1339336166,,1343854824,75310,,2,7,5,42,45,32923,2627,0,744,0.0,4119,velvia,0,0,5,false,false
42164,storm,239,1338415766,1338963959,1338963960,9136,9136,1,3,8,62,58,32825,2955,0,629,0.0,4052,xumingming,16,0.6875,66,false,false
42695,storm,238,1338405595,1343373539,1343373539,82799,82799,1,7,16,7,58,31692,0,0,98,0.0,4050,ept,0,0,45,false,false
140703,storm,237,1338349332,,1340915603,42771,,1,1,2,1,58,31692,142,0,0,0.0,4042,zongyuanwu,1,0.0,0,false,false
394574,storm,236,1338283797,,1338349352,1092,,1,3,0,3,57,31692,498,0,0,0.0,4037,zongyuanwu,0,0,0,true,false
136261,storm,234,1337946839,1337963119,1337963119,271,271,1,1,0,1,63,31664,2,0,2,0.0,4011,xumingming,15,0.6666666666666666,62,false,false
128618,storm,225,1337360358,1338617875,1338617875,20958,20958,1,1,6,2,57,31664,6,0,24,0.0,3963,ashleywbrown,0,0,0,false,false
40445,storm,224,1337350164,1338414684,1338414684,17742,17742,1,92,10,342,57,31664,12089,0,2976,0.0,3963,xumingming,14,0.7142857142857143,60,false,false
117471,storm,213,1336544324,1336586574,1336586574,704,704,1,1,1,2,64,31631,142,0,5,0.0,3908,xumingming,13,0.6923076923076923,58,false,false
34932,storm,211,1336413314,,1346114698,161689,,1,1,8,12,70,30801,1274,0,0,0.0,3895,jasonkolb,0,0,0,false,false
114087,storm,207,1336288389,1336579714,1336579714,4855,4855,1,2,5,6,72,30801,124,0,76,0.0,3877,xumingming,12,0.6666666666666666,58,false,false
