pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2716706,tdiary/tdiary-core,ruby,395,1388305003,1388372894,1388372894,1131,1131,commits_in_master,false,false,2,3,0,1,1,1,0,0,26,26,25,0,1,32,16904,60,370,29,178.71509701845716,3.8452437292948414,21.17841930903928,117,hsbt,39,0.46153846153846156,172,true,true
2607449,tdiary/tdiary-core,ruby,393,1386670621,1387087770,1387087770,6952,6952,commits_in_master,false,false,2,3,2,0,2,1,1,0,4,5,5,0,0,29,16884,56,0,1,178.92679459843637,3.849798625918029,21.203506278133144,117,machu,31,0.6451612903225806,24,true,true
2546308,tdiary/tdiary-core,ruby,388,1385773453,,1385791686,303,,unknown,false,false,2,1,0,2,2,3,0,0,4,4,0,4,0,40,16884,0,0,0,178.92679459843637,3.849798625918029,21.203506278133144,117,PharaohKJ,1,1.0,10,false,false
2508738,tdiary/tdiary-core,ruby,387,1385250444,,1388191232,49013,,unknown,false,false,2,1,0,0,0,1,0,3,3,6,6,0,0,52,16883,82,75,0,178.93739264348756,3.850026654030682,21.204762186815138,117,hsbt,38,0.47368421052631576,172,true,true
2456214,tdiary/tdiary-core,ruby,384,1384514254,1384647837,1384647837,2226,2226,commits_in_master,false,false,1,1,0,3,3,3,0,0,1,1,1,0,0,57,16882,1,0,0,178.94799194408245,3.850254709157683,21.206018244283854,117,tdtds,2,0.5,103,true,true
2298582,tdiary/tdiary-core,ruby,383,1382355570,1383364517,1383364517,16755,16755,commits_in_master,false,false,3,6,0,1,1,1,0,2,13,15,13,1,1,51,17043,837,46,21,172.38749046529367,3.63785718476794,20.242914979757085,117,hsbt,37,0.4864864864864865,172,true,true
2212901,tdiary/tdiary-core,ruby,380,1380964089,1382052395,1382052395,18138,18138,commits_in_master,false,false,3,4,3,2,5,2,0,2,10,12,8,0,2,53,17191,213,0,41,170.90337967541154,3.6065383049269966,20.068640567738935,117,hsbt,35,0.5142857142857142,172,true,true
2116810,tdiary/tdiary-core,ruby,379,1379519846,1380219084,1380219084,11653,11653,github,false,false,3,1,0,0,0,2,0,0,2,2,2,0,0,55,18734,8,4,8,212.60809223871036,3.3094907654531864,20.92452225899434,117,minimum2scp,0,0,6,false,false
2116496,tdiary/tdiary-core,ruby,377,1379437824,,1379517193,1322,,unknown,false,false,3,1,0,1,1,2,0,0,4,4,0,4,0,55,18734,0,0,0,212.60809223871036,3.3094907654531864,20.92452225899434,117,pandeiro245,0,0,4,false,false
2105604,tdiary/tdiary-core,ruby,376,1379081748,1380220446,1380220446,18978,18978,commits_in_master,false,false,3,15,0,0,0,2,4,20,5,29,18,0,7,51,18734,5692,5294,66,212.60809223871036,3.3094907654531864,20.92452225899434,117,hsbt,34,0.5294117647058824,172,true,true
