pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2671654,thoughtbot/capybara-webkit,ruby,604,1387462144,,1387549208,1451,,unknown,false,false,4,2,1,2,3,2,0,0,1,1,0,1,0,40,782,0,0,0,4085.677749360614,340.153452685422,470.5882352941176,1307,jferris,13,0.23076923076923078,103,true,true
2607905,thoughtbot/capybara-webkit,ruby,599,1386675665,1387570975,1387570975,14921,14921,commit_sha_in_comments,false,false,4,1,0,1,1,1,0,0,1,1,0,1,0,38,782,0,0,0,4085.677749360614,340.153452685422,470.5882352941176,1305,tricknotes,1,0.0,92,false,false
2587801,thoughtbot/capybara-webkit,ruby,598,1386345696,1386346126,1386346126,7,7,github,false,false,5,1,0,1,1,1,0,0,3,3,1,1,1,37,782,2,0,0,4085.677749360614,340.153452685422,470.5882352941176,2610,jferris,12,0.16666666666666666,206,true,true
2569539,thoughtbot/capybara-webkit,ruby,596,1386115727,1386171179,1386171179,924,924,commits_in_master,false,false,4,1,0,0,0,1,0,0,1,1,0,1,0,36,786,0,0,0,4022.900763358779,335.87786259541986,460.55979643765903,1305,austenito,0,0,49,false,false
2562586,thoughtbot/capybara-webkit,ruby,595,1386029576,1387570989,1387570989,25690,25690,commit_sha_in_comments,false,false,4,4,0,3,3,3,0,0,11,11,9,0,2,36,786,100,36,0,4022.900763358779,335.87786259541986,460.55979643765903,1305,eagletmt,0,0,40,false,false
2505288,thoughtbot/capybara-webkit,ruby,593,1385167719,1387571052,1387571052,40055,40055,commit_sha_in_comments,false,false,4,1,0,2,2,1,0,0,1,1,0,1,0,34,786,0,0,0,4022.900763358779,335.87786259541986,460.55979643765903,1305,pcreux,0,0,67,false,false
2447879,thoughtbot/capybara-webkit,ruby,591,1384416403,1387609051,1387609051,53210,53210,merged_in_comments,false,false,4,2,0,3,3,2,0,0,2,2,2,0,0,34,786,25,0,0,4022.900763358779,335.87786259541986,460.55979643765903,1305,kgrz,0,0,11,false,false
2419509,thoughtbot/capybara-webkit,ruby,589,1384025687,1384025822,1384025822,2,2,commits_in_master,false,false,3,1,0,0,0,0,1,0,6,7,3,0,4,68,786,44,0,3,4016.539440203562,334.6055979643766,459.2875318066158,2610,jferris,11,0.18181818181818182,206,true,true
2419503,thoughtbot/capybara-webkit,ruby,588,1384025561,1384025703,1384025703,2,2,commits_in_master,false,false,3,2,0,0,0,0,0,0,5,5,4,0,1,68,786,12,80,0,3938.9312977099235,333.3333333333333,454.1984732824427,2610,jferris,10,0.2,206,true,true
2419182,thoughtbot/capybara-webkit,ruby,587,1384019968,1384025595,1384025595,93,93,commits_in_master,false,false,2,2,0,0,0,0,1,0,2,3,2,1,0,71,786,0,134,0,3938.9312977099235,333.3333333333333,454.1984732824427,1305,jferris,9,0.2222222222222222,103,true,true
