pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2754954,thoughtbot/paperclip,ruby,1409,1389035845,1389037735,1389037735,31,31,github,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,22,3374,0,0,5,2226.1410788381745,191.4641375222288,559.8695909899229,6051,fxn,0,0,294,false,false
2738635,thoughtbot/paperclip,ruby,1408,1388742540,,1388775829,554,,unknown,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,22,3357,0,0,0,2234.137622877569,191.8379505510873,561.5132558832291,6051,salimane,0,0,23,false,false
2736939,thoughtbot/paperclip,ruby,1407,1388711978,1388776118,1388776118,1069,1069,merged_in_comments,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,22,3357,17,0,0,2234.137622877569,191.8379505510873,561.5132558832291,6051,clod81,0,0,1,false,false
2715153,thoughtbot/paperclip,ruby,1406,1388255148,1388666768,1388666768,6860,6860,merged_in_comments,false,false,8,1,0,1,1,2,1,0,0,1,0,0,1,23,3356,0,0,0,2233.0154946364723,191.59713945172822,561.3825983313468,6051,Yota00766,0,0,0,false,false
2671715,thoughtbot/paperclip,ruby,1402,1387462707,1387544011,1387544011,1355,1355,commits_in_master,false,false,9,1,0,0,0,0,0,0,1,1,0,1,0,24,3349,0,0,2,2229.9193789190804,191.4004180352344,561.3616004777546,6051,jferris,0,0,103,true,true
2635592,thoughtbot/paperclip,ruby,1400,1386965438,1387544927,1387544927,9658,9658,commits_in_master,false,false,9,1,0,0,0,1,0,0,1,1,1,0,0,21,3349,14,0,0,2229.9193789190804,191.4004180352344,561.3616004777546,6051,thehenster,0,0,2,false,false
2634714,thoughtbot/paperclip,ruby,1399,1386956391,,1387550409,9900,,unknown,false,false,9,2,0,1,1,1,0,0,8,8,7,1,0,19,3349,42,0,2,2229.9193789190804,191.4004180352344,561.3616004777546,6051,djcp,9,0.5555555555555556,24,true,true
2609443,thoughtbot/paperclip,ruby,1397,1386689038,1388776203,1388776203,34786,34786,commits_in_master,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,17,3349,2,0,0,2229.9193789190804,191.4004180352344,561.3616004777546,6050,ggordan,0,0,4,false,false
2576208,thoughtbot/paperclip,ruby,1394,1386197277,1388776345,1388776345,42984,42984,merged_in_comments,false,false,8,1,0,1,1,1,0,0,1,1,0,1,0,20,3349,0,0,0,2229.9193789190804,191.4004180352344,561.3616004777546,6050,drinor,0,0,3,false,false
2575506,thoughtbot/paperclip,ruby,1393,1386189708,,1386191806,34,,unknown,false,false,8,1,0,0,0,0,0,0,2,2,2,0,0,20,3349,2,8,0,2229.9193789190804,191.4004180352344,561.3616004777546,6050,rahilvirani,0,0,0,false,false
2509943,thoughtbot/paperclip,ruby,1389,1385291138,,1388776695,58092,,unknown,false,false,12,1,0,1,1,1,0,0,2,2,2,0,0,16,3349,2,2,0,2229.9193789190804,191.4004180352344,561.3616004777546,6049,fidothe,0,0,47,false,false
2357091,thoughtbot/paperclip,ruby,1376,1383159079,1383325039,1383325039,2766,2766,commits_in_master,false,false,13,1,0,0,0,2,0,0,1,1,1,0,0,30,3343,6,0,0,2212.3840861501644,190.84654501944362,559.9760693987437,6047,gmarik,0,0,116,false,false
2355299,thoughtbot/paperclip,ruby,1374,1383142356,1383325147,1383325147,3046,3046,commits_in_master,false,false,13,2,0,0,0,0,0,0,2,2,0,1,1,26,3343,0,0,0,2212.3840861501644,190.84654501944362,559.9760693987437,6047,arunagw,0,0,182,true,true
2349513,thoughtbot/paperclip,ruby,1373,1383071538,1384538050,1384538050,24441,24441,merged_in_comments,false,false,13,1,0,2,2,2,0,0,2,2,2,0,0,26,3343,8,15,0,2212.3840861501644,190.84654501944362,559.9760693987437,6046,jimryan,2,0.0,0,false,false
2349331,thoughtbot/paperclip,ruby,1372,1383069849,1383142246,1383142246,1206,1206,commit_sha_in_comments,false,false,13,1,0,5,5,3,0,0,1,1,1,0,0,27,3343,13,0,0,2212.3840861501644,190.84654501944362,559.9760693987437,6046,jimryan,1,0.0,0,false,false
2341736,thoughtbot/paperclip,ruby,1371,1382980110,1383327414,1383327414,5788,5788,merged_in_comments,false,false,12,1,0,2,2,2,0,0,3,3,3,0,0,28,3343,2,14,0,2212.3840861501644,190.84654501944362,559.9760693987437,6046,krzychk,0,0,0,false,false
2315496,thoughtbot/paperclip,ruby,1365,1382555707,,1383921337,22700,,unknown,false,false,11,2,3,1,4,3,0,0,1,1,0,1,0,34,3343,0,0,0,2212.3840861501644,190.84654501944362,559.9760693987437,6045,squareleaf,0,0,2,false,false
2219654,thoughtbot/paperclip,ruby,1354,1381136322,1388690397,1388690397,125841,125841,merged_in_comments,false,false,10,1,0,9,9,4,0,0,1,1,1,0,0,41,3343,2,0,0,2211.4866886030513,190.84654501944362,559.9760693987437,6044,anderslemke,0,0,5,false,false
2132696,thoughtbot/paperclip,ruby,1346,1379721221,,1384529888,80084,,unknown,false,false,10,3,0,2,2,2,0,0,19,19,17,1,1,40,3343,37,785,0,2211.4866886030513,190.84654501944362,559.9760693987437,6039,jonathantribouharet,1,0.0,0,false,false
2131063,thoughtbot/paperclip,ruby,1345,1379695814,1388697347,1388697347,149965,149965,merged_in_comments,false,false,10,1,0,4,4,4,0,0,2,2,2,0,0,40,3343,4,4,0,2211.4866886030513,190.84654501944362,559.9760693987437,6039,eatstoomuchjam,0,0,2,false,false
2659646,thoughtbot/paperclip,ruby,1341,1379281761,,1379291893,168,,unknown,false,false,9,1,0,0,0,0,0,0,2,2,2,0,0,42,3343,15,0,0,2211.4866886030513,190.84654501944362,559.9760693987437,6036,jonathantribouharet,0,0,0,false,false
2060088,thoughtbot/paperclip,ruby,1337,1378398861,1380284902,1380284902,31434,31434,commits_in_master,false,false,9,1,0,0,0,1,0,0,1,1,1,0,0,42,3343,8,0,5,2211.4866886030513,190.84654501944362,559.9760693987437,6030,bricker,0,0,8,false,false
2006990,thoughtbot/paperclip,ruby,1331,1377786605,1384537990,1384537990,112463,112463,merged_in_comments,false,false,9,2,0,0,0,2,0,0,2,2,2,0,0,43,3343,4,14,0,2211.4866886030513,190.84654501944362,559.9760693987437,6028,ScotterC,1,0.0,26,false,false
2004355,thoughtbot/paperclip,ruby,1329,1377777770,1383576467,1383576467,96584,96584,merged_in_comments,false,false,9,2,0,4,4,2,0,0,2,2,2,0,0,43,3343,2,20,0,2211.4866886030513,190.84654501944362,559.9760693987437,6028,s-andringa,0,0,0,false,false
2004152,thoughtbot/paperclip,ruby,1328,1377775533,1387564253,1387564253,163085,163085,merged_in_comments,false,false,8,1,0,1,1,2,0,0,1,1,1,0,0,44,3343,2,0,0,2211.4866886030513,190.84654501944362,559.9760693987437,6028,braddunbar,0,0,102,false,false
2004120,thoughtbot/paperclip,ruby,1327,1377775154,1387552237,1387552237,162891,162891,merged_in_comments,false,false,7,1,0,0,0,2,0,0,2,2,2,0,0,45,3343,2,29,0,2211.4866886030513,190.84654501944362,559.9760693987437,6028,ScotterC,0,0,26,false,false
1986710,thoughtbot/paperclip,ruby,1321,1377108903,1377708533,1377708552,9994,9993,github,false,false,6,2,1,2,3,2,0,0,2,2,2,0,0,46,3343,4,50,3,2209.6918935088247,191.14567753514808,560.5743344301526,6026,djcp,8,0.5,20,true,true
1961164,thoughtbot/paperclip,ruby,1318,1377048638,1387553870,1387553870,175027,175027,merged_in_comments,false,false,6,1,0,1,1,2,0,0,1,1,1,0,0,45,3343,11,0,0,2209.6918935088247,191.14567753514808,560.5743344301526,6026,atambo,0,0,23,false,false
1960097,thoughtbot/paperclip,ruby,1317,1377029513,1377877576,1377877577,14134,14134,github,false,false,5,1,0,0,0,0,0,0,1,1,0,1,0,46,3343,0,0,3,2209.6918935088247,191.14567753514808,560.5743344301526,6026,GhostGambler,0,0,0,false,false
1915332,thoughtbot/paperclip,ruby,1309,1376065684,1376071068,1376071068,89,89,github,false,false,6,1,0,0,0,0,0,0,3,3,3,0,0,43,3329,4,10,5,2191.9495343947133,187.44367677981376,553.9200961249624,12048,djcp,7,0.42857142857142855,40,true,true
1909631,thoughtbot/paperclip,ruby,1308,1375970024,,1376305080,5584,,unknown,false,false,6,1,0,3,3,2,0,0,1,1,1,0,0,43,3329,2,0,0,2191.9495343947133,187.44367677981376,553.9200961249624,6024,andey,0,0,0,false,false
1900204,thoughtbot/paperclip,ruby,1307,1375871695,1376656650,1376656650,13082,13082,merged_in_comments,false,false,6,1,0,1,1,1,2,0,1,3,3,0,0,43,3329,16,85,0,2191.9495343947133,187.44367677981376,553.9200961249624,6024,will-r,0,0,7,false,false
1869198,thoughtbot/paperclip,ruby,1305,1375282481,1375293192,1375293192,178,178,github,false,false,7,3,7,1,8,3,1,0,10,11,6,0,2,47,3250,155,42,6,2238.153846153846,191.69230769230768,566.7692307692308,12042,jyurek,3,0.3333333333333333,88,true,true
1867134,thoughtbot/paperclip,ruby,1303,1375211033,1375295127,1375295127,1401,1401,merged_in_comments,false,false,7,1,0,1,1,1,0,0,2,2,2,0,0,46,3250,6,22,0,2238.153846153846,191.69230769230768,566.7692307692308,12040,djcp,6,0.5,40,true,true
1865434,thoughtbot/paperclip,ruby,1301,1375191961,1375271857,1375271857,1331,1331,merged_in_comments,false,false,7,1,0,4,4,2,0,0,2,2,2,0,0,46,3246,6,13,0,2237.8311768330254,191.3123844731978,566.2353666050524,6020,leomayleomay,0,0,12,false,false
1860688,thoughtbot/paperclip,ruby,1300,1375117721,1375187355,1375187355,1160,1160,github,false,false,8,4,0,4,4,2,2,1,11,14,14,0,0,45,3236,159,98,40,2236.7119901112487,191.28553770086526,565.5129789864029,12040,jyurek,2,0.0,88,true,true
1844737,thoughtbot/paperclip,ruby,1297,1374867020,,1375100252,3887,,unknown,false,false,9,1,0,4,4,4,0,0,12,12,12,0,0,43,3236,0,150,5,2236.7119901112487,191.28553770086526,565.5129789864029,12036,sikachu,0,0,220,true,true
1793586,thoughtbot/paperclip,ruby,1283,1374156259,1374233850,1374233850,1293,1293,merged_in_comments,false,false,9,1,3,2,5,3,2,0,2,4,4,0,0,45,3214,40,60,0,2237.3988799004355,189.1723708774113,562.5388923459863,6016,marcoow,0,0,19,false,false
1789401,thoughtbot/paperclip,ruby,1282,1374133441,,1374144518,184,,unknown,false,false,8,1,0,2,2,1,0,0,2,2,2,0,0,47,3199,6,0,0,2235.38605814317,188.80900281337918,562.6758361988121,6016,leonidr0,0,0,0,false,false
