pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
975062,sferik/twitter,350,1360180293,,1360187793,125,,3,1,0,1,11,2324,2,0,0,2337.3493975903616,4100,zainzafar,0,0,0,false,false
975063,sferik/twitter,349,1360175649,1360190730,1360190730,251,251,3,1,0,2,11,2324,5,10,15,2337.3493975903616,4100,bshelton229,0,0,4,false,false
928224,sferik/twitter,346,1359223046,1359233175,1359233175,168,168,3,1,1,3,10,2320,16,19,36,2333.1896551724135,4100,tibbon,1,1.0,24,false,false
790412,sferik/twitter,342,1357782393,1357783805,1357783806,23,23,4,1,3,1,10,2320,0,0,8,2333.1896551724135,4098,thetizzo,0,0,0,false,false
841072,sferik/twitter,335,1356008174,1356014297,1356014297,102,102,3,4,1,7,10,2305,2,60,20,2196.5292841648593,4080,nbraem,0,0,2,false,false
608566,sferik/twitter,331,1354293389,1354315343,1354315343,365,365,3,3,6,7,5,2306,65,193,36,2161.7519514310493,4030,tibbon,0,0,24,false,false
582726,sferik/twitter,330,1354203617,1354286411,1354286411,1379,1379,4,3,4,5,3,2305,13,175,26,2133.6225596529284,4026,thomasklemm,0,0,28,false,false
630657,sferik/twitter,329,1354034812,1354036573,1354036573,29,29,4,1,1,2,2,2323,2,4,2,2112.7851915626343,4022,uasi,0,0,80,false,false
468746,sferik/twitter,326,1352696438,1352715598,1352715598,319,319,4,1,1,6,5,2148,59,48,33,2221.6014897579144,2011,spagalloco,8,1.0,40,true,true
458295,sferik/twitter,325,1352347316,1352385497,1352385497,636,636,4,1,1,1,4,2148,0,2,9,2221.6014897579144,2011,nfriend21,0,0,0,false,false
630658,sferik/twitter,322,1351802762,,1351870322,1126,,4,1,1,3,4,2148,56,0,0,2221.6014897579144,2007,twoism,2,1.0,57,false,false
630660,sferik/twitter,321,1351141188,1351141738,1351141738,9,9,4,1,1,1,4,2091,0,0,34,2244.8589191774267,2007,fionatay,0,0,11,false,false
630662,sferik/twitter,320,1350650806,1350738019,1350738019,1453,1453,4,2,8,2,3,2078,9,0,0,2258.902791145332,2006,heaven,0,0,0,false,false
630755,sferik/twitter,319,1350409367,1350409829,1350409829,7,7,3,1,0,1,3,2068,0,2,11,2269.8259187620893,2005,trliner,0,0,4,false,false
342464,sferik/twitter,311,1346259049,1347036493,1347036493,12957,12957,3,1,2,1,9,2193,2,0,0,2512.5398996808026,3898,twoism,1,1.0,112,false,false
260457,sferik/twitter,309,1345671416,1345671735,1345671735,5,5,3,1,0,1,12,2175,2,0,6,2537.0114942528735,3884,twoism,0,0,112,false,false
254842,sferik/twitter,308,1345457835,1345497367,1345497367,658,658,3,2,1,2,11,2172,12,20,2,2532.228360957643,3882,tedkulp,0,0,42,false,false
246893,sferik/twitter,307,1345065972,1345068746,1345068746,46,46,3,2,2,2,10,2172,0,0,132,2532.228360957643,3870,freerobby,2,0.0,26,false,false
69483,sferik/twitter,305,1344954065,,1344960869,113,,3,2,3,2,10,2172,0,0,0,2532.228360957643,3866,freerobby,1,0.0,24,false,false
243512,sferik/twitter,304,1344953225,,1344960861,127,,3,1,2,1,10,2172,0,0,0,2532.228360957643,3866,freerobby,0,0,24,false,false
220373,sferik/twitter,292,1342896390,1342899066,1342899066,44,44,4,1,0,1,12,2581,1,0,10,2096.861681518791,1901,fb3,0,0,0,false,false
59661,sferik/twitter,288,1342409842,1342428660,1342428660,313,313,4,4,1,37,11,2249,154,156,379,2368.6082703423745,1898,spagalloco,7,1.0,39,true,true
200202,sferik/twitter,286,1341968161,1341971430,1341971430,54,54,4,5,2,61,11,2215,276,95,508,2366.139954853273,1891,spagalloco,6,1.0,39,true,true
195358,sferik/twitter,283,1341733632,1341753372,1341753372,329,329,4,1,1,1,9,2215,0,0,48,2366.139954853273,1884,rhysd,0,0,18,false,false
194001,sferik/twitter,282,1341641054,1341657258,1341657258,270,270,4,1,0,1,9,2215,2,0,4,2366.139954853273,1882,aamerabbas,1,1.0,0,false,false
630761,sferik/twitter,273,1339779772,1339791415,1339791415,194,194,3,1,0,54,16,2062,0,1150,93,2533.9476236663436,1871,spagalloco,5,1.0,38,false,true
630762,sferik/twitter,272,1339614587,1339731227,1339731227,1944,1944,3,2,0,2,15,2062,18,0,30,2533.9476236663436,1871,spagalloco,4,1.0,38,false,true
630763,sferik/twitter,270,1339509481,1339509638,1339509638,2,2,3,1,0,1,13,2061,1,0,3,2532.7510917030568,1871,spagalloco,3,1.0,38,false,true
630764,sferik/twitter,269,1339509094,1339509614,1339509614,8,8,3,1,0,3,13,2061,6,6,8,2532.7510917030568,1871,spagalloco,2,1.0,38,false,true
630670,sferik/twitter,266,1338887911,1338902155,1338902155,237,237,3,1,1,3,19,2012,31,18,5,2497.5149105367796,1870,mislav,0,0,848,false,false
630671,sferik/twitter,265,1338803000,1338809620,1338809620,110,110,3,2,2,2,16,2006,6,34,2,2491.026919242273,1870,laserlemon,3,0.3333333333333333,48,true,true
630672,sferik/twitter,261,1337850183,1338551789,1338551789,11693,11693,3,7,1,10,16,1903,93,151,40,2569.1014188124013,1867,wjlroe,0,0,17,false,false
630673,sferik/twitter,258,1336508229,,1336509010,13,,2,2,6,2,19,2067,4,0,0,2312.5302370585387,1866,terryjray,0,0,2,false,false
630674,sferik/twitter,257,1336260360,1336260715,1336260715,5,5,2,1,1,1,20,2064,1,0,4,2308.139534883721,1866,jphpsf,0,0,5,false,false
630675,sferik/twitter,256,1336137565,1336137756,1336137756,3,3,2,1,0,1,18,2060,0,18,0,2315.04854368932,1865,tomykaira,2,1.0,35,false,false
630676,sferik/twitter,255,1336137508,1336137876,1336137876,6,6,2,1,0,3,18,2060,8,14,3,2315.04854368932,1865,tomykaira,1,1.0,35,false,false
630768,sferik/twitter,251,1334637767,,1334685749,799,,2,1,0,8,34,2058,6,18,0,2298.3479105928086,1860,redhotpenguin,0,0,5,false,false
630679,sferik/twitter,250,1334586631,1334587648,1334587648,16,16,1,1,1,2,34,2058,0,2,2,2298.3479105928086,1860,alkema,0,0,9,false,false
