pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2672559,twitter/summingbird,scala,412,1387469423,,1387470081,10,,unknown,false,false,6,1,0,0,0,1,0,0,1,1,0,1,0,72,5777,0,0,11,466.3320062316081,8.655011251514628,18.34862385321101,688,wlue,0,0,33,false,false
2668356,twitter/summingbird,scala,411,1387410680,,1387460717,833,,unknown,false,false,6,3,0,1,1,2,0,0,1,1,1,0,0,73,5774,14,0,16,466.5742985798407,8.659508139937651,18.358157256667823,688,singhala,8,0.75,3,false,true
2668343,twitter/summingbird,scala,410,1387410453,,1387460682,837,,unknown,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,73,5769,14,0,16,466.9786791471659,8.667013347200553,18.374068296065175,688,singhala,7,0.8571428571428571,3,false,true
2636961,twitter/summingbird,scala,408,1386983946,,1389058770,34580,,unknown,false,false,6,3,0,3,3,2,1,0,6,7,6,0,0,71,5774,101,10,316,466.5742985798407,8.659508139937651,18.358157256667823,688,johnynek,96,0.6458333333333334,82,true,true
2630854,twitter/summingbird,scala,407,1386916284,,1387835395,15318,,unknown,false,false,6,8,14,1,15,2,1,0,2,3,2,0,0,71,5774,242,0,64,466.5742985798407,8.659508139937651,18.358157256667823,688,reconditesea,0,0,6,true,true
2618029,twitter/summingbird,scala,406,1386786363,1386799274,1386799274,215,215,github,false,false,6,2,0,0,0,0,0,0,1,1,1,0,0,71,5769,17,0,94,466.9786791471659,8.667013347200553,18.374068296065175,687,ianoc,65,0.2923076923076923,2,true,true
2612309,twitter/summingbird,scala,405,1386716108,1386716201,1386716201,1,1,github,false,false,6,1,0,0,0,1,0,0,1,1,0,1,0,70,5769,0,0,17,466.9786791471659,8.667013347200553,18.374068296065175,687,MansurAshraf,0,0,0,false,false
2610876,twitter/summingbird,scala,403,1386701794,,1386705076,54,,unknown,false,false,6,6,0,0,0,0,2,0,2,4,3,0,0,70,5769,639,0,0,466.9786791471659,8.667013347200553,18.374068296065175,687,joshby247,0,0,0,false,false
2584520,twitter/summingbird,scala,400,1386301886,,1387485740,19730,,unknown,false,false,6,4,0,0,0,0,0,0,2,2,2,0,0,70,5769,67,0,103,466.9786791471659,8.667013347200553,18.374068296065175,687,ianoc,64,0.296875,2,true,true
2583733,twitter/summingbird,scala,399,1386289327,1386290043,1386290043,11,11,github,false,false,6,1,0,1,1,1,0,0,1,1,1,0,0,70,5759,12,0,3,467.7895467963188,8.682062858135094,18.405973259246398,687,ianoc,63,0.2857142857142857,2,true,true
