pullreq,reason,tag
http://github.com/allegro/ralph/pull/527,closed by administrator to work on similar feature,conflict
http://github.com/resque/resque/pull/673,closed by author because other developer did better,conflict
http://github.com/buildbot/buildbot/pull/435,conflicting with other PR,conflict
http://github.com/DIRACGrid/DIRAC/pull/1616,conflicts,conflict
http://github.com/cgeo/c-geo-opensource/pull/822,conflicts with other PR,conflict
http://github.com/cython/cython/pull/64,merger needs to merge other feature first,conflict
http://github.com/aeolusproject/conductor/pull/36,"""that didn't go well"", closed by author",deferred
http://github.com/diaspora/diaspora/pull/3624,closed by author to work more on it,deferred
http://github.com/bundler/bundler/pull/1367,More work needed,deferred
http://github.com/boto/boto/pull/1196,more work needed,deferred
http://github.com/chriseppstein/compass/pull/662,moved to different project,deferred
http://github.com/cgeo/c-geo-opensource/pull/2577,discussion lead to closing,deferred
http://github.com/cloudfoundry/bosh/pull/252,more discussion needed on feature,deferred
http://github.com/jedi4ever/veewee/pull/167,closed by author to work more on it,deferred
http://github.com/gatein/gatein-portal/pull/226,duplicate,duplicate
http://github.com/getpelican/pelican/pull/621,functionality exists already,duplicate
http://github.com/cgeo/c-geo-opensource/pull/2044,implemented otherwise,duplicate
http://github.com/alphagov/whitehall/pull/511,previous pullreq implements the same stuff,duplicate
http://github.com/chriseppstein/compass/pull/564,proposed change incorrect,incorrect implementation
http://github.com/facebook/tornado/pull/420,code doesn't behave as expected,incorrect implementation
http://github.com/cgeo/c-geo-opensource/pull/1278,code not correct,incorrect implementation
http://github.com/resque/resque/pull/384,code not correct,incorrect implementation
http://github.com/bundler/bundler/pull/2142,code not correct,incorrect implementation
http://github.com/divio/django-cms/pull/1459,code not correct,incorrect implementation
http://github.com/sympy/sympy/pull/1444,"code not working as expected, closed by author",incorrect implementation
http://github.com/django/django/pull/1481,feature doesn't behave correclty,incorrect implementation
http://github.com/autotest/virt-test/pull/603,problems in code,incorrect implementation
http://github.com/cobbler/cobbler/pull/392,spelling mistake in code,incorrect implementation
http://github.com/everzet/capifony/pull/55,wrong code,incorrect implementation
http://github.com/github/linguist/pull/61,wrong file modified,incorrect implementation
http://github.com/gitlabhq/gitlabhq/pull/3041,removed feature that should not have been removed,incorrect implementation
http://github.com/jnicklas/capybara/pull/167,incorrect feature,incorrect implementation
http://github.com/dimagi/commcare-hq/pull/770,,merged
http://github.com/celery/celery/pull/884,,merged
http://github.com/autotest/virt-test/pull/289,,merged
http://github.com/atlasapi/atlas/pull/150,,merged
http://github.com/autotest/virt-test/pull/146,,merged
http://github.com/celery/celery/pull/1488,,merged
http://github.com/celery/celery/pull/768,,merged
http://github.com/autotest/autotest/pull/623,,merged
http://github.com/autotest/virt-test/pull/53,,merged
http://github.com/celery/celery/pull/1465,,merged
http://github.com/codahale/dropwizard/pull/285,,merged
http://github.com/buildbot/buildbot/pull/15,,merged
http://github.com/celery/celery/pull/728,,merged
http://github.com/celery/celery/pull/768,,merged
http://github.com/dmwm/WMCore/pull/4290,,merged
http://github.com/diaspora/diaspora/pull/204,?,merged
http://github.com/infinispan/infinispan/pull/1639,,merged
http://github.com/gatein/gatein-portal/pull/300,?,merged
http://github.com/kennethreitz/requests/pull/124,superseded by later commit,merged
http://github.com/carrierwaveuploader/carrierwave/pull/1025,"""closing due to inactivity"" -- lingering",obsolete
http://github.com/alphagov/frontend/pull/1,"""horifficaly old"" --- lingering",obsolete
http://github.com/candlepin/subscription-manager/pull/693,"changes ""no longer relevant""",obsolete
http://github.com/emesene/emesene/pull/783,lingering,obsolete
http://github.com/carrierwaveuploader/carrierwave/pull/477,problem fixed by update in dependency,obsolete
http://github.com/gitlabhq/gitlabhq/pull/2054,"closed by author, cannot replicate error",obsolete
http://github.com/rails/rails/pull/11070,"commits have been removed from pr, hence closed.",obsolete
http://github.com/resque/resque/pull/931,code introduces uncessary dependencies,process
http://github.com/emesene/emesene/pull/1189,"commit formating issues (too many merge commits,needs rebase)",process
http://github.com/cgeo/c-geo-opensource/pull/1811,commit formatting (needs rebase),process
http://github.com/autotest/virt-test/pull/263,incoreect base branch,process
http://github.com/resque/resque/pull/458,merge window closed,process
http://github.com/carrierwaveuploader/carrierwave/pull/497,missing implementation,process
http://github.com/django/django/pull/1451,not following project process,process
http://github.com/rails/rails/pull/10398,wrong base branch used,process
http://github.com/chriseppstein/compass/pull/1290,"wrong branch, tests missing",process
http://github.com/diaspora/diaspora/pull/3776,wrong use of git workflow,process
http://github.com/django/django/pull/78,"split to more PRs, one per ticket",process
http://github.com/cgeo/c-geo-opensource/pull/523,code not clean,process
http://github.com/alibaba/druid/pull/10,? (chinese...),process
http://github.com/celery/celery/pull/1242,"closed by author, error in pr code",process
http://github.com/bbatsov/rubocop/pull/175,"need to split in two prs, incorrect implemation",process
http://github.com/Governance/s-ramp/pull/298,"closed by author, commits are missing",process
http://github.com/wildfly/wildfly/pull/3884,doesn't solve an existing problem,superfluous
http://github.com/rails/rails/pull/11879,doesn't solve an existing problem,superfluous
http://github.com/django/django/pull/1068,doesn't solve an existing problem,superfluous
http://github.com/autotest/virt-test/pull/682,doesn't solve an existing problem,superfluous
http://github.com/buildbot/buildbot/pull/253,not required feature,superfluous
http://github.com/allegro/ralph/pull/35,denied by core team member,superfluous
http://github.com/boto/boto/pull/346,merger doesn't understand purpose,superfluous
http://github.com/resque/resque/pull/192,not wanted by manager,superfluous
http://github.com/alibaba/druid/pull/193,? (chinese...),superfluous
http://github.com/jnicklas/carrierwave/pull/409,incorrect feature,superfluous
http://github.com/Jasig/cas/pull/62,feature not interesting to include in the core,superfluous
http://github.com/rails/rails/pull/8696,"pr suggests simple refactoring, which was rejected as not helping",superfluous
http://github.com/cgeo/c-geo-opensource/pull/1589,superseded,superseded
http://github.com/autotest/virt-test/pull/54,feature added by another pull req,superseded
http://github.com/divio/django-cms/pull/1706,new code fixes issue,superseded
http://github.com/chiliproject/chiliproject/pull/285,superseded,superseded
http://github.com/diaspora/diaspora/pull/3728,superseded,superseded
http://github.com/boto/boto/pull/1064,superseded,superseded
http://github.com/alphagov/frontend/pull/208,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/362,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/519,superseded,superseded
http://github.com/buildbot/buildbot/pull/327,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/470,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/488,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/572,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/653,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/489,superseded,superseded
http://github.com/aeolusproject/conductor/pull/235,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/571,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/790,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/465,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/471,superseded,superseded
http://github.com/boto/boto/pull/841,superseded,superseded
http://github.com/autotest/autotest/pull/322,superseded,superseded
http://github.com/diaspora/diaspora/pull/3958,superseded,superseded
