pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
780170,vagrant,1297,1357493051,1357519043,1357519043,433,433,1,1,2,1,65,10283,2,0,1,425.94573568024896,2666,llonchj,0,0,1
775676,vagrant,1292,1357161524,1357161807,1357161807,4,4,1,1,1,1,65,7933,8,0,0,952.9812176982226,2666,nicobrevin,0,0,4
770417,vagrant,1280,1356752132,1356752329,1356752329,3,3,1,54,1,84,64,10253,1480,8,0,419.4869794206574,2656,kbrock,0,0,16
710126,vagrant,1259,1355255384,1355679586,1355679586,7070,7070,1,1,0,1,62,10259,1,0,1,359.48922896968514,2574,nwjsmith,1,0.0,13
710127,vagrant,1255,1355073818,1355679705,1355679705,10098,10098,1,2,0,2,60,10259,22,0,0,359.48922896968514,2561,cassianoleal,1,0.0,8
710121,vagrant,1249,1354855303,1354855313,1354855313,0,0,1,50,1,83,59,10259,1476,11,0,359.48922896968514,2554,miketheman,6,0.3333333333333333,24
454720,vagrant,1218,1351854754,1352886561,1352886561,17196,17196,2,1,1,0,54,9315,0,0,0,364.573268921095,2511,xiwenc,0,0,0
454719,vagrant,1217,1351783940,1351914546,1351914546,2176,2176,2,9,4,0,54,9315,0,0,0,364.573268921095,2511,erikh,0,0,58
454323,vagrant,1213,1351592931,1351913332,1351913332,5340,5340,2,1,1,2,52,9315,6,0,3,364.573268921095,2511,dcarley,1,0.0,11
454371,vagrant,1209,1351268544,1351913385,1351913385,10687,10687,2,2,1,2,51,9315,13,0,2,364.573268921095,2511,pbrisbin,2,0.5,121
454372,vagrant,1206,1351101803,1351913462,1351913462,13467,13467,2,1,1,0,51,9315,0,0,0,364.573268921095,2510,gmsharky,0,0,1
454374,vagrant,1191,1350330200,1351913580,1351913580,26329,26329,2,1,1,1,52,9315,7,0,2,364.573268921095,2505,lorello,0,0,2
455931,vagrant,1183,1349995312,1350089374,1350089374,1567,1567,2,1,1,2,50,9314,7,0,5,364.6124114236633,2502,obscurerichard,1,1.0,5
455932,vagrant,1182,1349995187,1350089543,1350089543,1572,1572,2,1,2,2,50,7927,7,0,1,953.071779992431,2502,obscurerichard,0,0,5
455933,vagrant,1180,1349939739,1350089785,1350089785,2500,2500,2,1,0,2,49,7927,4,0,0,953.071779992431,2500,carlossg,0,0,12
454104,vagrant,1176,1349741814,1350090097,1350090097,5804,5804,2,1,4,1,44,9314,9,0,1,364.6124114236633,2493,paulv,0,0,8
454103,vagrant,1175,1349717435,1350089779,1350089779,6205,6205,2,1,4,2,44,9314,4,0,3,364.6124114236633,2493,petere,0,0,20
437818,vagrant,1155,1348618803,1348764602,1348764602,2429,2429,5,1,3,2,40,9303,2,5,9,364.61356551650005,2454,sl4m,0,0,35
426364,vagrant,1146,1348146209,1348772508,1348772508,10438,10438,6,1,1,1,37,9303,2,0,6,364.61356551650005,2433,piavlo,0,0,0
454102,vagrant,1142,1348004719,1348024994,1348024995,337,337,6,2,11,2,35,7805,47,0,0,967.9692504804613,2425,pbrisbin,1,0.0,119
406802,vagrant,1140,1347992520,1348024423,1348024423,531,531,6,2,6,2,34,7805,16,0,0,967.9692504804613,2425,smerrill,3,0.3333333333333333,38
454101,vagrant,1139,1347992502,1347992539,1347992539,0,0,6,23,1,40,34,9283,1098,0,0,365.3991166648713,2425,smerrill,2,0.5,38
416501,vagrant,1128,1347717786,1347722591,1347722591,80,80,6,1,2,1,34,7805,2,0,0,967.9692504804613,2416,sbfaulkner,1,0.0,28
400376,vagrant,1120,1347537017,1347581228,1347581228,736,736,6,1,2,3,32,7459,463,0,0,1012.8703579568307,2406,julianhille,0,0,2
397179,vagrant,1118,1347513945,1348760675,1348760675,20778,20778,6,1,2,1,31,8935,11,0,2,379.63066592053724,2406,hugowetterberg,1,0.0,85
397177,vagrant,1117,1347513869,1348771786,1348771786,20965,20965,6,1,1,0,31,7459,0,0,0,1012.8703579568307,2406,hugowetterberg,0,0,85
358702,vagrant,1106,1346959287,1347238450,1347238450,4652,4652,10,4,2,5,32,8927,39,0,0,379.29875658115833,2391,gaffo,0,0,23
357100,vagrant,1105,1346913863,1347238581,1347238581,5411,5411,10,1,2,0,32,8927,0,0,0,379.29875658115833,2387,Samuel29,0,0,0
349254,vagrant,1096,1346598174,1347239297,1347239297,10685,10685,10,1,1,1,32,8927,14,0,0,379.29875658115833,2381,danmidwood,0,0,4
265884,vagrant,1087,1345809413,1347240500,1347240500,23851,23851,13,1,1,4,32,8922,6,8,3,379.5113203317642,2364,nwjsmith,0,0,12
255972,vagrant,1081,1345491053,1348004837,1348004837,41896,41896,13,2,2,0,30,7454,0,0,0,1013.5497719345319,2337,pbrisbin,0,0,116
