pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1152434,bblimke/webmock,253,1360827279,,1361121527,4904,,1,3,1,4,44,2667,2,8,0,1967.0041244844394,1606,i0rek,2,1.0,52,false,false
1144128,bblimke/webmock,251,1360585101,,1361121261,8936,,1,1,1,1,44,2667,1,0,0,1967.0041244844394,1606,jordimassaguerpla,0,0,2,false,false
828903,bblimke/webmock,248,1358777969,1359658149,1359658150,14669,14669,1,1,1,2,66,2662,9,6,0,1969.1960931630351,801,dolzenko,0,0,6,false,false
821509,bblimke/webmock,247,1358500606,,1361121781,43686,,1,1,1,1,63,2662,2,0,1,1969.1960931630351,1602,benilovj,0,0,14,false,false
840789,bblimke/webmock,244,1358289155,,1361122191,47217,,1,1,1,1,63,2662,11,0,0,1969.1960931630351,1602,tbeauvais,0,0,0,false,false
840791,bblimke/webmock,242,1358116529,1358116582,1358116582,0,0,1,1,0,1,77,2662,0,0,0,1969.1960931630351,801,sanemat,3,0.3333333333333333,40,false,false
840792,bblimke/webmock,241,1358060437,1358076372,1358076372,265,265,1,1,0,1,85,2662,0,4,0,1969.1960931630351,801,sanemat,2,0.0,40,false,false
840788,bblimke/webmock,235,1356158979,,1361121681,82711,,0,1,1,1,100,2662,1,0,0,1969.1960931630351,1594,sanemat,1,0.0,80,false,false
769860,bblimke/webmock,234,1356111534,,1356734303,10379,,0,1,2,1,100,2662,0,4,0,1969.1960931630351,797,sanemat,0,0,40,false,false
754468,bblimke/webmock,231,1355623824,1356719516,1356719517,18261,18261,0,1,1,1,100,2662,0,0,0,1969.1960931630351,792,xta,0,0,7,false,false
459048,bblimke/webmock,223,1352394194,,1361132273,145634,,1,1,0,3,89,2662,1,23,0,1969.1960931630351,773,grantovich,0,0,13,false,false
617034,bblimke/webmock,221,1352294762,1358238871,1358238872,99068,99068,1,1,0,1,89,2662,2,0,3,1969.1960931630351,773,fxposter,0,0,22,false,false
