pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2956030,wordpress-mobile/WordPress-Android,java,830,1391763116,,1391768433,88,,unknown,false,false,8,2,0,1,1,1,0,0,2,2,1,0,1,73,46549,4,0,65,4.618788803196631,0.19334464757567296,0.21482738619519215,85,nbradbury,64,0.953125,3,true,false
2952707,wordpress-mobile/WordPress-Android,java,828,1391719700,,1391761287,693,,unknown,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,73,46519,3,0,29,4.621767449859197,0.193469335110385,0.2149659279004278,85,roundhill,40,0.975,7,true,false
2948985,wordpress-mobile/WordPress-Android,java,823,1391689195,,1391706670,291,,unknown,false,false,8,2,0,0,0,0,0,0,2,2,2,0,0,73,46408,69,0,35,4.6328219272539215,0.19393208067574555,0.2154800896397173,85,daniloercoli,28,0.9285714285714286,7,true,false
2940901,wordpress-mobile/WordPress-Android,java,821,1391596792,1391636042,1391636042,654,654,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,73,46403,7,0,51,4.633321121479215,0.19395297717819968,0.2155033079757774,85,daniloercoli,27,0.9259259259259259,7,true,false
2938060,wordpress-mobile/WordPress-Android,java,819,1391553249,,1391706092,2547,,unknown,false,false,8,8,0,3,3,2,1,0,4,5,5,0,0,73,46403,310,0,29,4.633321121479215,0.19395297717819968,0.2155033079757774,85,daniloercoli,26,0.9615384615384616,7,true,false
2936180,wordpress-mobile/WordPress-Android,java,817,1391536208,1391558235,1391558235,367,367,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,72,46389,2,0,5,4.634719437797753,0.19401151134967343,0.21556834594408156,85,roundhill,39,0.9743589743589743,7,true,false
2935728,wordpress-mobile/WordPress-Android,java,816,1391531856,1391552706,1391552706,347,347,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,72,46389,77,0,23,4.634719437797753,0.19401151134967343,0.21556834594408156,85,maxme,79,0.9367088607594937,17,true,false
2935415,wordpress-mobile/WordPress-Android,java,815,1391529190,,1391722964,3229,,unknown,false,false,8,3,0,3,3,2,0,0,4,4,4,0,0,72,46389,338,0,248,4.634719437797753,0.19401151134967343,0.21556834594408156,85,maxme,78,0.9487179487179487,17,true,false
2932388,wordpress-mobile/WordPress-Android,java,813,1391506085,1391511893,1391511893,96,96,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,73,46384,17,0,10,4.635219041048637,0.194032424974129,0.2155915833045878,85,maxme,77,0.948051948051948,17,true,false
2928771,wordpress-mobile/WordPress-Android,java,811,1391461816,1391468233,1391468233,106,106,github,false,false,8,4,0,0,0,0,0,0,2,2,2,0,0,73,46443,23,0,135,4.6293305772667575,0.1937859311413991,0.21531770126822125,85,roundhill,38,0.9736842105263158,7,true,false
2928558,wordpress-mobile/WordPress-Android,java,810,1391460018,1391462006,1391462006,33,33,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,73,46412,24,0,50,4.632422649314832,0.1939153667155046,0.2154615185727829,85,roundhill,37,0.972972972972973,7,true,false
2927051,wordpress-mobile/WordPress-Android,java,808,1391448125,1391449173,1391449173,17,17,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,73,46404,13,0,14,4.633221274028101,0.1939487975174554,0.21549866390828376,85,daniloercoli,25,0.96,7,true,false
2926757,wordpress-mobile/WordPress-Android,java,807,1391445711,1391504272,1391504272,976,976,github,false,false,8,1,0,0,0,0,0,0,2,2,2,0,0,73,46329,175,0,9,4.64072179412463,0.1942627727773101,0.21584752530812235,85,nbradbury,63,0.9523809523809523,3,true,false
