pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size_at_merge,num_commits,num_commit_comments,num_issue_comments,num_comments,files_changed,total_commits_last_month,main_team_commits_last_month,sloc,churn,commits_on_files_touched,test_lines_per_1000_lines,test_cases_per_1000_lines,assertions_per_1000_lines
702044,xbmc,1843,1353831163,,1356703613,47874,,45,1,0,2,2,3,0,0,1291013,38,0,0.0,0.0,0.0
768164,xbmc,1998,1356697749,,1356699455,28,,45,1,0,0,0,1,0,0,1290634,2,1,0.0,0.0,0.0
762071,xbmc,1988,1356515078,,1356697160,3034,,45,1,0,0,0,1,0,0,1290587,8,5,0.0,0.0,0.0
764253,xbmc,1992,1356585917,,1356653837,1132,,45,2,0,0,0,5,0,0,1290587,98,5,0.0,0.0,0.0
766860,xbmc,1981,1356333004,,1356653753,5345,,45,1,0,0,0,1,0,0,1290588,9,3,0.0,0.0,0.0
766520,xbmc,1996,1356645612,,1356647631,33,,45,1,0,0,0,1,0,0,1290588,7,6,0.0,0.0,0.0
766257,xbmc,1958,1355863828,,1356641257,12957,,45,1,0,0,0,3,0,0,1290490,13,3,0.0,0.0,0.0
765384,xbmc,1995,1356621192,,1356637254,267,,45,1,5,0,5,2,0,0,1290587,11,2,0.0,0.0,0.0
763515,xbmc,1986,1356433654,,1356636235,3376,,45,4,1,0,1,4,0,0,1290586,85,0,0.0,0.0,0.0
764399,xbmc,1985,1356420936,,1356592264,2855,,45,1,0,0,0,1,0,0,1290586,7,3,0.0,0.0,0.0
764093,xbmc,1980,1356318502,,1356579922,4357,,45,2,0,0,0,8,0,0,1290588,116,0,0.0,0.0,0.0
762117,xbmc,1989,1356516772,,1356555326,642,,45,2,0,0,0,2,0,0,1290587,22,0,0.0,0.0,0.0
758868,xbmc,1950,1355784055,1356284302,1356284302,8337,8337,44,1,0,0,0,3,316,47,1290486,18,10,0.0,0.0,0.0
761302,xbmc,1969,1356095379,1356181109,1356181109,1428,1428,44,1,0,0,0,4,330,47,1290503,30,16,0.0,0.0,0.0
456396,xbmc,1692,1351458382,,1356095461,77284,,44,5,0,8,8,14,0,0,1291995,800,0,0.0,0.0,0.0
759524,xbmc,1952,1355814244,1355855414,1355855414,686,686,44,1,0,0,0,2,407,45,1290486,3,7,0.0,0.0,0.0
755541,xbmc,1946,1355688352,1355834027,1355834027,2427,2427,44,7,0,0,0,18,410,45,1290481,182,38,0.0,0.0,0.0
758669,xbmc,1949,1355779721,,1355783676,65,,44,1,0,0,0,2,0,0,1290486,13,0,0.0,0.0,0.0
755518,xbmc,1945,1355687852,1355779185,1355779185,1522,1522,44,3,0,0,0,6,408,42,1290475,150,9,0.0,0.0,0.0
755400,xbmc,1944,1355680296,1355771655,1355771655,1522,1522,44,1,0,0,0,1,408,42,1290475,12,3,0.0,0.0,0.0
755773,xbmc,1947,1355697379,1355699028,1355699028,27,27,44,4,0,0,0,12,416,41,1290475,169,36,0.0,0.0,0.0
456405,xbmc,1655,1350850803,,1355675370,80349,,44,2,0,12,12,4,0,0,1291916,187,3,0.0,0.0,0.0
754712,xbmc,1943,1355642232,1355645325,1355645325,51,51,44,1,0,0,0,2,421,39,1290383,118,2,0.0,0.0,0.0
702092,xbmc,1942,1355605107,1355606551,1355606551,24,24,44,1,0,1,1,5,436,52,1290381,10,9,0.0,0.0,0.0
653632,xbmc,1887,1354599776,,1355601861,16701,,44,1,0,0,0,1,0,0,1291121,4,1,0.0,0.0,0.0
456379,xbmc,1735,1352137411,,1355591389,57566,,44,5,0,12,12,10,0,0,1292004,69,0,0.0,0.0,0.0
456378,xbmc,1736,1352139091,,1355591140,57534,,44,3,0,28,28,12,0,0,1292049,309,0,0.0,0.0,0.0
702046,xbmc,1831,1353609774,,1355590853,33017,,44,1,0,13,13,3,0,0,1292232,18,0,0.0,0.0,0.0
702093,xbmc,1940,1355580409,1355589633,1355589633,153,153,44,1,0,5,5,3,439,55,1290380,6,19,0.0,0.0,0.0
702094,xbmc,1938,1355559457,1355559684,1355559684,3,3,44,1,0,1,1,4,440,58,1290379,32,5,0.0,0.0,0.0
702095,xbmc,1937,1355545926,1355550009,1355550009,68,68,44,1,0,0,0,1,449,62,1290379,31,1,0.0,0.0,0.0
