pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
794129,zfs,1195,1357858086,1357923704,1357923704,1093,1093,10,1,0,2,64,161910,754,0,0,0.0,619,behlendorf,27,0.07407407407407407,86
790016,zfs,1191,1357772772,1357835881,1357835881,1051,1051,10,1,1,3,62,161909,11,0,0,0.0,619,nedbass,15,0.06666666666666667,3
780334,zfs,1175,1357260618,1357593598,1357593598,5549,5549,13,2,0,3,58,158960,34,0,0,0.0,619,mkj,0,0,2
776742,zfs,1167,1357184147,1357593599,1357593599,6824,6824,13,1,0,1,60,158960,2,0,0,0.0,619,wrouesnel,0,0,0
763574,zfs,1166,1356560151,1357593769,1357593769,17226,17226,12,1,1,1,50,158960,7,0,0,0.0,617,nedbass,14,0.07142857142857142,3
776999,zfs,1160,1356130018,1357675349,1357675349,25755,25755,13,1,1,4,50,158960,114,0,0,0.0,616,behlendorf,26,0.07692307692307693,83
777004,zfs,1157,1355871665,1355874222,1355874222,42,42,13,1,2,1,50,158952,2,0,0,0.0,613,ryao,36,0.0,18
754994,zfs,1152,1355661553,1355782554,1355782554,2016,2016,13,1,1,1,50,158938,14,0,0,0.0,613,maxximino,3,0.0,4
754588,zfs,1151,1355633156,1355782590,1355782590,2490,2490,13,1,1,1,47,158938,0,0,0,0.0,613,ryao,35,0.0,18
752804,zfs,1149,1355529546,1355869666,1355869666,5668,5668,13,1,29,1,43,158952,9,0,0,0.0,612,Prakash-Surya,17,0.0,2
752803,zfs,1148,1355529429,1357675307,1357675307,35764,35764,13,9,7,114,43,158960,5320,0,0,0.0,612,behlendorf,24,0.08333333333333333,83
746544,zfs,1144,1355357137,1355761529,1355761529,6739,6739,12,1,1,5,32,158900,94,0,0,0.0,612,behlendorf,23,0.08695652173913043,83
