"","classifier","auc","acc","run"
"1","randomforest",0.687088815789474,0.485789766407119,1
"2","multinomregr",0.629278900112233,0.48411197626993,1
"3","naivebayes",0.424546887312845,0.478629032258065,1
"4","randomforest",0.55812324929972,0.490573907240574,2
"5","multinomregr",0.638148121525781,0.450784117450784,2
"6","randomforest",0.66524893314367,0.449792038027332,3
"7","multinomregr",0.613390437475803,0.459298871063577,3
"8","naivebayes",0.741767068273092,0.557486631016043,3
"9","randomforest",0.613870644043058,0.433704115684093,4
"10","multinomregr",0.601489374676057,0.400973303670745,4
"11","naivebayes",0.637987012987013,0.394021134593993,4
"12","randomforest",0.649283950617284,0.480555555555556,5
"13","multinomregr",0.615216334467671,0.403598484848485,5
"14","naivebayes",0.616732804232804,0.377958152958153,5
"15","randomforest",0.647135846482252,0.485964912280702,6
"16","multinomregr",0.646927609427609,0.419188596491228,6
"17","naivebayes",0.680994152046784,0.382054093567251,6
"18","randomforest",0.59388341543514,0.448116463237431,7
"19","multinomregr",0.592505732749635,0.397104766056379,7
"20","naivebayes",0.544375,0.336103240337111,7
"21","randomforest",0.625833333333333,0.401177233963663,8
"22","multinomregr",0.633879196000408,0.412319243604004,8
"23","naivebayes",0.545008912655972,0.325528364849833,8
"24","randomforest",0.579029863058901,0.433210784313726,9
"25","multinomregr",0.654583333333333,0.46078431372549,9
"26","naivebayes",0.552266854592436,0.365808823529412,9
"27","randomforest",0.597658883373169,0.398853398853399,10
"28","multinomregr",0.539930555555556,0.407862407862408,10
"29","naivebayes",0.751293995859213,0.358749658749659,10
